Title,APC USD 
3D Printing in Medicine,1570
Acta Epilepsia,0
Acta Neuropathologica Communications,2290
Acta Veterinaria Scandinavica,2365
Addiction Science & Clinical Practice,2170
Advances in Rheumatology,0
Advances in Simulation,2440
Agriculture & Food Security,1870
AIDS Research and Therapy,2380
Algorithms for Molecular Biology,1990
"Allergy, Asthma & Clinical Immunology",2145
Alzheimer's Research & Therapy,2580
Animal Biotelemetry,1790
Annals of Clinical Microbiology and Antimicrobials,2570
Annals of General Psychiatry,2490
Annals of Occupational and Environmental Medicine,1975
Antimicrobial Resistance & Infection Control,2570
Applied Cancer Research,0
Archives of Physiotherapy,0
Archives of Public Health,2290
Arthritis Research & Therapy,2680
Arthroplasty,2000
Asia Pacific Family Medicine,2145
Asthma Research and Practice,2170
Avian Research,0
Basic and Clinical Andrology,2290
Behavioral and Brain Functions,2570
Big Data Analytics,1870
BioData Mining,2170
Bioelectronic Medicine,2170
Biological Procedures Online,2790
Biological Research,2240
Biology Direct,2145
Biology of Sex Differences,2570
Biomarker Research,2490
Biomaterials Research,2145
Biomedical Dermatology,0
BioMedical Engineering OnLine,1790
BioPsychoSocial Medicine,2145
Biotechnology for Biofuels,2690
BMC Anesthesiology,2290
BMC Biochemistry,2170
BMC Bioinformatics,2170
BMC Biology,2785
BMC Biomedical Engineering,1475
BMC Biophysics,2040
BMC Biotechnology,2290
BMC Cancer,2390
BMC Cardiovascular Disorders,2380
BMC Cell Biology,2170
BMC Chemical Engineering,1475
BMC Chemistry,2040
BMC Clinical Pathology,2170
BMC Complementary and Alternative Medicine,2380
BMC Dermatology,1690
BMC Developmental Biology,2145
"BMC Ear, Nose and Throat Disorders",2170
BMC Ecology,2175
BMC Emergency Medicine,1690
BMC Endocrine Disorders,2145
BMC Energy,1475
BMC Mechanical Engineering,1475
BMC Evolutionary Biology,2290
BMC Family Practice,2145
BMC Gastroenterology,2290
BMC Genetics,2040
BMC Genomics,2145
BMC Geriatrics,2380
BMC Health Services Research,2390
BMC Hematology,2170
BMC Immunology,2145
BMC Infectious Diseases,2190
BMC International Health and Human Rights,2290
BMC Materials,1475
BMC Medical Education,2145
BMC Medical Ethics,1480
