Title,GBP,USD
Academia Revista Latinoamericana de Administracion,2250,2950
Accounting Research Journal,2000,2650
"Accounting, Auditing & Accountability Journal",2250,2950
Advances in Autism,2000,2650
Advances in Dual Diagnosis,2000,2650
Advances in Mental Health and Intellectual Disabilities,2000,2650
African Journal of Economic and Management Studies,2000,2650
Agricultural Finance Review,2000,2650
Aircraft Engineering and Aerospace Technology,2250,2950
American Journal of Business,1750,2350
Annals in Social Responsibility,1750,2350
Anti-Corrosion Methods and Materials,2250,2950
Arts and the Market,1750,2350
Asia Pacific Journal of Innovation and Entrepreneurship,0,0
Asia Pacific Journal of Marketing and Logistics,2250,2950
Asian Association of Open Universities Journal,0,0
Asian Education and Development Studies,2000,2650
Asian Journal of Acounting Research,0,0
Asian Review of Accounting,2000,2650
Asia-Pacific Journal of Business Administration,2000,2650
Aslib Journal of Information Management,2250,2950
Assembly Automation,2250,2950
Baltic Journal of Management,2250,2950
Benchmarking: An International Journal,2000,2650
British Food Journal,2250,2950
Built Environment Project and Asset Management,2000,2650
Business Process Management Journal,2250,2950
Career Development International,2250,2950
China Agricultural Economic Review,2250,2950
China Finance Review International,2000,2650
China Political Economy,0,0
Chinese Management Studies,2250,2950
Circuit World,2250,2950
Collection and Curation,1750,2350
COMPEL,2250,2950
Competitiveness Review,2000,2650
Construction Innovation,2000,2650
Continuity and Resilience Review,1750,2350
Corporate Communications: An International Journal,2000,2650
Corporate Governance,2000,2650
Critical Perspectives on International Business,2000,2650
Cross Cultural & Strategic Management,2250,2950
Data Technologies and Applications,2250,2950
Development and Learning in Organizations,2000,2650
Digital Library Perspectives,2000,2650
"Digital Policy, Regulation and Governance",2000,2650
Disaster Prevention and Management,2250,2950
Drugs and Alcohol Today,2000,2650
Education + Training,2000,2650
Employee Relations,2250,2950
Engineering Computations,2250,2950
"Engineering, Construction and Architectural Management",2250,2950
English Teaching: Practice & Critique,2250,2950
"Equality, Diversity and Inclusion",2000,2650
EuroMed Journal of Business,2000,2650
European Business Review,2000,2650
European Journal of Innovation Management,2250,2950
European Journal of Management and Business Economics,0,0
European Journal of Marketing,2250,2950
European Journal of Training and Development,2000,2650
Evidence-based HRM,2000,2650
Facilities,2000,2650
Foresight,2000,2650
Gender in Management,2000,2650
"Global Knowledge, Memory and Communication prev. Library Review",1750,2350
Grey Systems: Theory and Application,1750,2350
Health Education,2000,2650
Higher Education Evaluation and Development,0,0
"Higher Education, Skills and Work-Based Learning",2000,2650
History of Education Review,2000,2650
"Housing, Care and Support",2000,2650
Human Resource Management International Digest,2000,2650
IMP Journal,1750,2350
Indian Growth and Development Review,2000,2650
Industrial and Commercial Training,2000,2650
Industrial Lubrication and Tribology,2250,2950
Industrial Management & Data Systems,2250,2950
Industrial Robot,2250,2950
Information and Computer Security,2000,2650
Information and Learning Science,2000,2650
Information Discovery and Delivery,2000,2650
Information Technology & People,2250,2950
Innovation & Management Review,0,0
Interactive Technology and Smart Education,2000,2650
International Journal for Lesson and Learning Studies,2000,2650
International Journal of Accounting & Information Management,2000,2650
International Journal of Bank Marketing,2250,2950
International Journal of Building Pathology and Adaptation,2000,2650
International Journal of Climate Change Strategies and Management,1500,2000
International Journal of Clothing Science and Technology,2250,2950
International Journal of Comparative Education and Development,1750,2350
International Journal of Conflict Management,2250,2950
International Journal of Contemporary Hospitality Management,2250,2950
International Journal of Crowd Science,0,0
"International Journal of Culture, Tourism and Hospitality Research",2000,2650
International Journal of Development Issues,2000,2650
International Journal of Disaster Resilience in the Built Environment,2000,2650
International Journal of Educational Management,2000,2650
International Journal of Emergency Services,2000,2650
International Journal of Emerging Markets,2000,2650
International Journal of Energy Sector Management,2000,2650
International Journal of Entrepreneurial Behavior & Research,2250,2950
International Journal of Ethics and Systems prev. Humanomics,1750,2350
International Journal of Event and Festival Management,2000,2650
International Journal of Gender and Entrepreneurship,2000,2650
International Journal of Health Care Quality Assurance,2000,2650
International Journal of Health Governance,2000,2650
International Journal of Housing Markets and Analysis,2000,2650
International Journal of Human Rights in Healthcare,2000,2650
International Journal of Information and Learning Technology,2000,2650
International Journal of Innovation Science,2000,2650
International Journal of Intelligent Computing and Cybernetics,2000,2650
International Journal of Islamic and Middle Eastern Finance and Management,2000,2650
International Journal of Law and Management,2000,2650
International Journal of Lean Six Sigma,2000,2650
International Journal of Managerial Finance,2000,2650
International Journal of Managing Projects in Business,2250,2950
International Journal of Manpower,2250,2950
International Journal of Mentoring and Coaching in Education,2000,2650
"International Journal of Migration, Health and Social Care",2000,2650
International Journal of Numerical Methods for Heat & Fluid Flow,2250,2950
International Journal of Operations & Production Management,2250,2950
International Journal of Organization Theory & Behavior,2000,2650
International Journal of Organizational Analysis,2000,2650
International Journal of Pervasive Computing and Communications,2000,2650
International Journal of Pharmaceutical and Healthcare Marketing,2000,2650
International Journal of Physical Distribution & Logistics Management,2250,2950
International Journal of Prisoner Health,2000,2650
International Journal of Productivity and Performance Management,2000,2650
International Journal of Public Leadership,1750,2350
International Journal of Public Sector Management,2000,2650
International Journal of Quality & Reliability Management,2000,2650
International Journal of Quality and Service Sciences,2000,2650
International Journal of Retail & Distribution Management,2000,2650
International Journal of Social Economics,2000,2650
International Journal of Sociology and Social Policy,2000,2650
International Journal of Sports Marketing and Sponsorship,2250,2950
International Journal of Structural Integrity,2000,2650
International Journal of Sustainability in Higher Education,2250,2950
International Journal of Tourism Cities,2000,2650
International Journal of Web Information Systems,2000,2650
International Journal of Wine Business Research,2000,2650
International Journal of Workplace Health Management,2000,2650
International Marketing Review,2250,2950
Internet Research,2250,2950
Irish Journal of Occupational Therapy,0,0
ISRA International Journal of Islamic Finance,0,0
Journal for Multicultural Education,2000,2650
Journal of Accounting & Organizational Change,2000,2650
Journal of Accounting in Emerging Economies,1750,2350
Journal of Advances in Management Research,1750,2350
"Journal of Aggression, Conflict and Peace Research",2000,2650
Journal of Agribusiness in Developing and Emerging Economies,2000,2650
Journal of Applied Accounting Research,2000,2650
Journal of Applied Research in Higher Education,2000,2650
Journal of Asia Business Studies,2000,2650
Journal of Asian Business Economics Studies,0,0
Journal of Behavioural Strategy ,1750,2350
Journal of Business & Industrial Marketing,2250,2950
Journal of Business Strategy,2000,2650
Journal of Capital Market Studies,0,0
Journal of Children's Services,2000,2650
Journal of Chinese Economic and Foreign Trade Studies,2000,2650
Journal of Chinese Human Resources Management,2000,2650
Journal of Communication Management,2000,2650
Journal of Consumer Marketing,2000,2650
Journal of Contemporary Marketing Science,1750,2350
Journal of Corporate Real Estate,2000,2650
Journal of Criminal Psychology,2000,2650
"Journal of Criminological Research, Policy and Practice",2000,2650
Journal of Cultural Heritage Management and Sustainable Development,2000,2650
Journal of Defense Analytics and Logistics,0,0
Journal of Documentation,2250,2950
Journal of Economic and Administrative Sciences,1750,2350
Journal of Economic Studies,2000,2650
"Journal of Economics, Finance and Administrative Science",0,0
Journal of Educational Administration,2000,2650
Journal of Enabling Technologies,2000,2650
"Journal of Engineering, Design and Technology",2000,2650
Journal of Enterprise Information Management,2250,2950
Journal of Enterprising Communities: People and Places in the Global Economy,2000,2650
Journal of Entrepreneurship and Public Policy,2000,2650
Journal of Entrepreneurship in Emerging Economies,2000,2650
Journal of European Real Estate Research,2000,2650
Journal of Facilities Management,2000,2650
Journal of Family Business Management,1750,2350
Journal of Fashion Marketing and Management,2000,2650
Journal of Financial Crime,2000,2650
Journal of Financial Economic Policy,2000,2650
Journal of Financial Management of Property and Construction,2000,2650
Journal of Financial Regulation and Compliance,2000,2650
Journal of Financial Reporting and Accounting,1750,2350
Journal of Global Mobility,2000,2650
Journal of Global Operations and Strategic Sourcing,2000,2650
Journal of Global Responsibility,1750,2350
Journal of Health Organization and Management,2250,2950
Journal of Health Research,0,0
Journal of Historical Research in Marketing,2000,2650
Journal of Hospitality and Tourism Insights,1750,2350
Journal of Hospitality and Tourism Technology,2000,2650
Journal of Humanitarian Logistics and Supply Chain Management,2000,2650
Journal of Indian Business Research,2000,2650
"Journal of Information, Communication and Ethics in Society",2000,2650
Journal of Integrated Care,2000,2650
Journal of Intellectual Capital,2250,2950
Journal of Intellectual Disabilities and Offending Behaviour,2000,2650
Journal of Intelligent and Connected Vehicles,0,0
