Title,USD,Type,,,,,,,,
Nature Communications,5200,Open Access,,,,,,,,
Scientific Data,1690,Open Access,,,,,,,,
Scientific Reports,1790,Open Access,,,,,,,,
Communications Biology,3170,Open Access,,,,,,,,
Communications Chemistry,3170,Open Access,,,,,,,,
Communications Physics,3170,Open Access,,,,,,,,
npj 2D Materials and Applications,2680,Open Access,,,,,,,,
npj Aging and Mechanisms of Disease,2680,Open Access,,,,,,,,
npj Biofilms and Microbiomes,3170,Open Access,,,,,,,,
npj Breast Cancer,2990,Open Access,,,,,,,,
npj Clean Water,2680,Open Access,,,,,,,,
npj Climate and Atmospheric Science,2680,Open Access,,,,,,,,
npj Computational Materials,2000,Open Access,,,,,,,,APS (Acta Pharmacologica Sinica)
npj Digital Medicine,2680,Open Access,,,,,,,,
npj Flexible Electronics,3170,Open Access,,,,,,,,USD
npj Genomic Medicine,3170,Open Access,,,,,,,,"$3,760 "
npj Materials Degradation,1990,Open Access,,,,,,,,GBP
npj Microgravity,3170,Open Access,,,,,,,,£2490
npj Parkinson's Disease,2680,Open Access,,,,,,,,EUR
npj Precision Oncology,2990,Open Access,,,,,,,,"€ 2,990"
npj Primary Care Respiratory Medicine,2680,Open Access,,,,,,,,
npj Quantum Information,3490,Open Access,,,,,,,,
npj Quantum Materials,1990,Open Access,,,,,,,,
npj Regenerative Medicine,3170,Open Access,,,,,,,,
npj Schizophrenia,3170,Open Access,,,,,,,,
npj Science of Food,1990,Open Access,,,,,,,,
npj Science of Learning,3300,Open Access,,,,,,,,
npj Systems Biology and Applications,2800,Open Access,,,,,,,,
npj Vaccines,3170,Open Access,,,,,,,,
BDJ Open,2570,Open Access,,,,,,,,
Blood Cancer Journal,4380,Open Access,,,,,,,,
Bone Research,3975,Open Access,,,,,,,,
Cell Death and Disease,3760,Open Access,,,,,,,,
Cell Death Discovery,1945,Open Access,,,,,,,,
Cell Discovery,2100,Open Access,,,,,,,,
Clinical and Translational Gastroenterology,2800,Open Access,,,,,,,,
Clinical and Translational Immunology,2800,Open Access,,,,,,,,
Emerging Microbes and Infections,2500,Open Access,,,,,,,,
Experimental and Molecular Medicine,3150,Open Access,,,,,,,,
Horticulture Research,2250,Open Access,,,,,,,,
Human Genome Variation,2290,Open Access,,,,,,,,
International Journal of Oral Science,3490,Open Access,,,,,,,,
Light: Sciences and Applications,3975,Open Access,,,,,,,,
Microsystems and Nanoengineering,3975,Open Access,,,,,,,,
NPG Asia Materials,3680,Open Access,,,,,,,,
Nutrition and Diabetes,2790,Open Access,,,,,,,,
Oncogenesis,3380,Open Access,,,,,,,,
Signal Transduction and Targeted Therapy,2170,Open Access,,,,,,,,
Translational Psychiatry,4095,Open Access,,,,,,,,
APS (Acta Pharmacologica Sinica),3760,Hybrid,,,,,,,,
BDJ (British Dental Journal),4390,Hybrid,,,,,,,,
BJC (British Journal of Cancer),3300,Hybrid,,,,,,,,
Bone Marrow Transplantation,3760,Hybrid,,,,,,,,
Cancer Gene Therapy,3760,Hybrid,,,,,,,,
Cell Death and Differentiation,4390,Hybrid,,,,,,,,
Cell Research,4390,Hybrid,,,,,,,,
Cellular and Molecular Immunology,4390,Hybrid,,,,,,,,
European Journal of Clinical Nutirition,3760,Hybrid,,,,,,,,
European Journal of Human Genetics,3000,Hybrid,,,,,,,,
Eye,3760,Hybrid,,,,,,,,
Gene Therapy,3760,Hybrid,,,,,,,,
Genes and Immunity,3760,Hybrid,,,,,,,,
Genetics in Medicine,3500,Hybrid,,,,,,,,
Heredity,3000,Hybrid,,,,,,,,
Hypertension Research,3760,Hybrid,,,,,,,,
Immunology and Cell Biology,3300,Hybrid,,,,,,,,
International Journal of Impotence Research,3140,Hybrid,,,,,,,,
International Journal of Obesity,4390,Hybrid,,,,,,,,
Journal of Exposure Science and Environmental Epidemiology,3760,Hybrid,,,,,,,,
Journal of Human Genetics,4390,Hybrid,,,,,,,,
Journal of Human Hypertension,3140,Hybrid,,,,,,,,
Journal of Perinatology,3760,Hybrid,,,,,,,,
Laboratory Investigation,3760,Hybrid,,,,,,,,
Leukemia,4390,Hybrid,,,,,,,,
Modern Pathology,4390,Hybrid,,,,,,,,
Molecular Psychiatry,4390,Hybrid,,,,,,,,
Mucosal Immunology,3500,Hybrid,,,,,,,,
Neuropsychopharmacology,3760,Hybrid,,,,,,,,
Oncogenesis,4390,Hybrid,,,,,,,,
Pediatric Research,3760,Hybrid,,,,,,,,
Polymer Journal,3140,Hybrid,,,,,,,,
Prostate Cancer and Prostatic Diseases,3760,Hybrid,,,,,,,,
Spinal Cord,3760,Hybrid,,,,,,,,
Spinal Cord Series and Cases,1380,Hybrid,,,,,,,,
The American Journal of Gastroenterology,4390,Hybrid,,,,,,,,
The ISME Journal,3300,Hybrid,,,,,,,,
The Journal of Antibiotics,3140,Hybrid,,,,,,,,
The Pharmacogenomics Journal,3760,Hybrid,,,,,,,,
