Title,USD
Acta Biochimica et Biophysica Sinica,3040
Adaptation,2814
Advances in Nutrition,3000
Aesthetic Surgery Journal,3528
Aesthetic Surgery Journal Open Forum,2200
African Affairs,3620
Age and Ageing,3150
Alcohol and Alcoholism,3308
American Entomologist,2894
American Journal of Agricultural Economics,3308
American Journal of Clinical Pathology,2600
American Journal of Epidemiology,3360
American Journal of Hypertension,3296
American Journal of Legal History,3308
American Literary History,3528
Animal Frontiers,0
Annals of Behavioral Medicine,2100
Annals of Oncology,3000
Annals of the Entomological Society of America,2894
Annals of Work Exposures and Health,3308
Antibody Therapeutics,0
Applied Economic Perspectives and Policy,3308
Applied Linguistics,4000
Arbitration International,3308
Archives of Clinical Neuropsychology,3520
Aristotelian Society Supplementary Volume,3245
Arthropod Management Tests,293
Bioinformatics,3150
Biological Journal of the Linnean Society,2940
Biology Methods and Protocols,840
Biology of Reproduction,3150
BioScience,3360
Bioscience Horizons: The International Journal of Student Research,0
BJA: British Journal of Anaesthesia,3528
Botanical Journal of the Linnean Society,2940
Brain,3790
Brain Communications,2380
Brief Treatment and Crisis Intervention,3540
Briefings in Bioinformatics,3308
Briefings in Functional Genomics,3308
British Medical Bulletin,3150
British Yearbook of International Law,3308
Burns and Trauma,0
Cambridge Journal of Economics,3749
"Cambridge Journal of Regions, Economy and Society",2812
Capital Markets Law Journal,3308
Carcinogenesis,3087
Cardiovascular Research,3360
Cerebral Cortex,3528
CESifo Economic Studies,2880
Chemical Senses,3150
Chinese Journal of International Law,3040
Christian bioethics: Non-Ecumenical Studies in Medical Morality,2800
Classical Receptions Journal,2700
Clinical Kidney Journal,0
Community Development Journal,3563
Contemporary Women's Writing,3087
Contributions to Political Economy,3749
Crohn's & Colitis 360,2000
Current Developments in Nutrition,2000
Current Legal Problems,3308
Current Zoology,0
Digital Scholarship in the Humanities,3200
Diseases of the Esophagus,3308
DNA Research,787
Dynamics and Statistics of the Climate System,0
Early Music,3360
ELT Journal,4000
English: Journal of the English Association,3087
Environmental Entomology,2894
Environmental Epigenetics,1848
EP Europace,3360
Epidemiologic Reviews,3150
Essays in Criticism,3360
European Heart Journal,3360
European Heart Journal - Cardiovascular Imaging,3360
European Heart Journal - Cardiovascular Pharmacotherapy,2793
European Heart Journal - Case Reports,672
European Heart Journal - Quality of Care and Clinical Outcomes,2793
European Journal of Cardio-Thoracic Surgery,3087
European Journal of Heart Failure,3540
European Journal of International Law,3150
European Journal of Orthodontics,3308
European Journal of Public Health,2678
European Review of Agricultural Economics,4100
European Review of Economic History,3296
European Sociological Review,3646
Evidence-based Complementary and Alternative Medicine,3540
Family Practice,3308
FEMS Microbiology Ecology,3210
FEMS Microbiology Letters,2996
FEMS Microbiology Reviews,3080
FEMS Yeast Research,3210
Food Quality and Safety,0
Foreign Policy Analysis,3150
Forest Science,2800
Forum for Modern Language Studies,3087
French History,3150
French Studies,3150
French Studies Bulletin,2150
Gastroenterology Report,1360
Genome Biology and Evolution,1800
Global Summitry,3150
Glycobiology,3150
Health Education Research,3308
Health Policy and Planning,2678
Health Promotion International,3528
History Workshop Journal,3308
Human Molecular Genetics,3150
Human Reproduction,3150
Human Reproduction Update,3150
Human Rights Law Review,3309
ICSID Review - Foreign Investment Law Journal,3308
ILAR Journal,3150
Industrial and Corporate Change,3570
Industrial Law Journal,3308
Inflammatory Bowel Diseases,3120
Insect Systematics and Diversity,2894
Integrative Biology,2560
Interacting with Computers,3150
International Affairs,3960
International Health,3150
International Immunology,3000
International Journal for Quality in Health Care,3308
International Journal of Constitutional Law,3150
International Journal of Epidemiology,3308
International Journal of Law and Information Technology,3308
"International Journal of Law, Policy and the Family",3310
International Journal of Lexicography,3749
International Journal of Low-Carbon Technologies,1360
International Journal of Neuropsychopharmacology,2200
International Journal of Public Opinion Research,2520
International Journal of Refugee Law,3235
International Journal of Transitional Justice,3309
International Political Sociology,3150
International Relations of the Asia-Pacific,3000
International Studies Perspectives,3150
International Studies Quarterly,3150
International Studies Review,3150
JAC-Antimicrobial Resistance,1485
JAMIA Open,2625
Japanese Journal of Clinical Oncology,3000
JNCI Cancer Spectrum,1000
JNCI: Journal of the National Cancer Institute,3528
Journal of African Economies,3850
Journal of Analytical Toxicology,3520
Journal of Animal Science,3250
Journal of Antimicrobial Chemotherapy,2940
Journal of Burn Care & Research,2310
Journal of Chromatographic Science,3520
Journal of Church and State,2800
Journal of Complex Networks,3308
Journal of Conflict and Security Law,3310
Journal of Consumer Research,2940
Journal of Crohn's and Colitis,3150
Journal of Crustacean Biology,3087
Journal of Cybersecurity,1050
Journal of Economic Entomology,2894
Journal of Economic Geography,3610
Journal of Environmental Law,3310
Journal of Experimental Botany,3000
Journal of Financial Econometrics,3540
Journal of Forestry,2800
Journal of Global Security Studies,3150
Journal of Heredity,2800
Journal of Hip Preservation Surgery,1103
Journal of Human Rights Practice,3308
Journal of Insect Science,1170
Journal of Integrable Systems,0
