Title,USD
AAPS Open,1570
Advanced Modeling and Simulation in Engineering Sciences,1230
Advanced Structural and Chemical Imaging,1350
Advances in Aerodynamics,0
Advances in Difference Equations,1480
Agricultural and Food Economics,1230
AI Perspectives,1420
Ain-Shams Journal of Anesthesiology,0
AMB Express,2170
Annals of Intensive Care,2570
Applied Adhesion Science,1390
Applied Microscopy,1420
Applied Network Science,1290
Applied Petrochemical Research,0
Applied Water Science,0
Arabian Journal of Mathematics,0
Asian Journal of German and European Studies,0
Asian Journal of Sustainability and Social Responsibility,0
Asian-Pacific Journal of Second and Foreign Language Education,1179
Asia-Pacific Science Education,800
Autoimmunity Highlights,1990
Biophysics Reports,0
Bioresources and Bioprocessing,0
Botanical Studies,2145
Boundary Value Problems,1480
Brain Informatics,1180
Bulletin of the National Research Centre,0
Business Research,0
Chemical and Biological Technologies in Agriculture,1870
Chinese Journal of Mechanical Engineering,0
"City, Territory and Architecture",0
Clinical and Translational Medicine,1890
Clinical Phytoscience,0
Cognitive Research: Principles and Implications (Brief Reports),750
Cognitive Research: Principles and Implications (Other article types),1500
Comparative Migration Studies,0
Complex Adaptive Systems Modeling,1085
Complex Analysis and its Synergies,1140
Complex & Intelligent Systems,0
Computational Astrophysics and Cosmology,1230
Computational Social Networks,1140
Computational Visual Media,0
Crime Science,1180
Critical Ultrasound Journal,2290
CVIR Endovascular,1390
Cybersecurity,1230
Data Science and Engineering,0
"Earth, Planets and Space",1475
Ecological Processes,0
Egyptian Journal of Biological Pest Control,0
Egyptian Journal of Forensic Sciences,0
Egyptian Journal of Neurosurgery,0
EJNMMI Physics,1750
EJNMMI Radiopharmacy and Chemistry,1510
EJNMMI Research,2680
Empirical Research in Vocational Education and Training,0
Energy Informatics,1350
Energy Transitions,0
Environmental Sciences Europe,2490
Environmental Systems Research,1990
EPJ Data Science,1350
EPJ Quantum Technology,1480
EPJ Techniques and Instrumentation,1230
EURASIP Journal on Advances in Signal Processing,1690
"EURASIP Journal on Audio, Speech, and Music Processing",16900
EURASIP Journal on Embedded Systems,1290
EURASIP Journal on Image and Video Processing,1690
EURASIP Journal on Information Security,990
EURASIP Journal on Wireless Communications and Networking,1690
European Journal of Futures Research,0
European Journal of Hybrid Imaging,1990
European Radiology Experimental,1609
European Transport Research Review,1475
Evidence-Based Endodontics,1690
Fashion and Textiles,1420
Fields Mathematics Education Journal,0
Financial Innovation,0
Fire Ecology,2145
Fixed Point Theory and Applications,1180
Forest Ecosystems,0
Friction,0
Frontiers of Business Research in China,0
Functional Linguistics,0
Genus: Journal of Population Sciences,0
Geoenvironmental Disasters,980
Geoscience Letters,980
Geothermal Energy,1420
Gynecological Surgery,2145
Heritage Science,1390
Human-centric Computing and Information Sciences,0
Injury Epidemiology,1800
Insights into Imaging,1105
Intensive Care Medicine Experimental,2290
International Aquatic Research,0
International Journal of Advanced Structural Engineering,0
International Journal of Anthropology and Ethnology,0
International Journal of Bipolar Disorders,2170
International Journal of Child Care and Education Policy,0
International Journal of Coal Science & Technology,0
International Journal of Concrete Structures and Materials,1420
International Journal of Corporate Social Responsibility,1230
International Journal of Disaster Risk Science,0
International Journal of Educational Technology in Higher Education,0
International Journal of Energy and Environmental Engineering,0
International Journal of Geo-Engineering,0
International Journal of Implant Dentistry,0
International Journal of Industrial Chemistry,0
International Journal of Mechanical and Materials Engineering,0
International Journal of Quality Innovation,980
International Journal of Recycling of Organic Waste in Agriculture,0
International Journal of STEM Education,1105
International Nano Letters,0
IPSJ Transactions on Computer Vision and Applications,800
IZA Journal of Development and Migration,0
IZA Journal of Labor Economics,0
IZA Journal of Labor Policy,0
JA Clinical Reports,1535
Journal for Labour Market Research,0
Journal of Advanced Ceramics,0
Journal of Analytical Science and Technology,0
Journal Of Big Data,1390
"Journal of Cloud Computing: Advances, Systems and Applications",1060
Journal of Economic Structures,0
Journal of Experimental Orthopaedics,1750
Journal of Global Entrepreneurship Research,0
Journal of High Energy Physics,0
Journal of Industrial Engineering International,0
Journal of Inequalities and Applications,1480
Journal of Innovation and Entrepreneurship,1085
Journal of International Humanitarian Action,1190
Journal of Internet Services and Applications,1085
Journal of Leather Science and Engineering,0
Journal of Mathematics in Industry,1350
Journal of Modern Power Systems and Clean Energy,0
Journal of Modern Transportation,0
Journal of Nanostructure in Chemistry,0
"Journal of Open Innovation: Technology, Market, and Complexity",800
Journal of Ophthalmic Inflammation and Infection,1780
Journal of Organization Design,0
Journal of Orthopaedics and Traumatology,2145
Journal of Palaeogeography,0
Journal of Patient-Reported Outcomes,1500
Journal of Petroleum Exploration and Production Technology,0
Journal of Shipping and Trade,800
Journal of Software Engineering Research and Development,1085
Journal of Statistical Distributions and Applications,1085
Journal of the Brazilian Computer Society,1085
Journal of the Egyptian Public Health Association,0
Journal of the European Optical Society - Rapid Publications,1660
Journal of Theoretical and Applied Physics,0
Journal of Wood Science,1535
Language Testing in Asia,1085
Large-scale Assessments in Education,0
Latin American Economic Review,0
Living Reviews in Computational Astrophysics,0
Living Reviews in Relativity,0
Living Reviews in Solar Physics,0
Materials Theory,1250
Materials for Renewable and Sustainable Energy,0
Mathematical Sciences,0
Mathematics-in-Industry Case Studies,0
Maxillofacial Plastic and Reconstructive Surgery,1780
Mechanics of Advanced Materials and Modern Processes,790
Micro and Nano Systems Letters,0
Molecular and Cellular Pediatrics,0
Nano Convergence,0
Nano-Micro Letters,0
Nanoscale Research Letters,1990
Natural Products and Bioprospecting,0
"Open Geospatial Data, Software and Standards",840
Pacific Journal of Mathematics for Industry,0
"Pastoralism: Research, Policy and Practice",1570
Petroleum Science,0
Photonic Sensors,0
"Probability, Uncertainty and Quantitative Risk",0
Progress in Biomaterials,0
Progress in Earth and Planetary Science,1690
Progress in Orthodontics,0
Protection and Control of Modern Power Systems,0
Protein & Cell,0
Psicologia: Reflexão e Crítica,1030
"Renewables: Wind, Water, and Solar",980
Research and Practice in Technology Enhanced Learning,0
Rice,2490
ROBOMECH Journal,1165
Security Informatics,1085
SERIEs,0
Smart Learning Environments,1085
Smart Water,980
Sports Medicine - Open,2145
Strategies in Trauma and Limb Reconstruction,0
Surgical Case Reports,1535
Swiss Journal of Economics and Statistics,1635
"The Egyptian Journal of Neurology, Psychiatry and Neurosurgery",0
The European Physical Journal C,0
The Journal of Basic and Applied Zoology,0
The Journal of Chinese Sociology,0
The Journal of Mathematical Neuroscience,1480
Triple Helix,1140
Urban Rail Transit,0
Video Journal of Education and Pedagogy,0
"Visual Computing for Industry, Biomedicine and Art",0
Visualization in Engineering,1350
