Accession Number,DOI,Pubmed ID,Article Title,Link,Authors,Source,Research Area,Volume,Issue,Pages,Publication Date,Times Cited,Journal Expected Citations,Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Percentile in Subject Area,Journal Impact Factor
WOS:000427401500009,10.1136/bjsports-2017-097608,MEDLINE:28698222,"A systematic review, meta-analysis and meta-regression of the effect of protein supplementation on resistance training-induced gains in muscle mass and strength in healthy adults",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000427401500009,"Morton, Robert W.; Murphy, Kevin T.; McKellar, Sean R.; Schoenfeld, Brad J.; Henselmans, Menno",BRITISH JOURNAL OF SPORTS MEDICINE,SPORT SCIENCES,52,6,376-+,2018,55,4.3875,1.74,12.54,31.6423,0.0909,7.867
WOS:000428014900003,10.1103/PhysRevLett.120.121602,MEDLINE:29694101,Toward a Definition of Complexity for Quantum Field Theory States,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000428014900003,"Chapman, Shira; Heller, Michal P.; Marrochio, Hugo; Pastawski, Fernando",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",120,12,n/a,2018,41,3.520518,1.46,11.65,28.0389,0.1327,8.839
WOS:000425613700001,10.1007/s10926-016-9690-x,MEDLINE:28224415,"Effectiveness of Workplace Interventions in Return-to-Work for Musculoskeletal, Pain-Related and Mental Health Conditions: An Update of the Evidence and Messages for Practitioners",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000425613700001,"Cullen, K. L.; Irvin, E.; Collie, A.; Clay, F.; Gensby, U.",JOURNAL OF OCCUPATIONAL REHABILITATION,REHABILITATION; SOCIAL ISSUES,28,1,15-Jan,2018,22,3.25,1.07,6.77,20.646,0.1238,1.858
WOS:000435023100003,10.1007/JHEP06(2018)046,n/a,Holographic complexity in Vaidya spacetimes. Part I,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000435023100003,"Chapman, Shira; Marrochio, Hugo; Myers, Robert C.",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",n/a,6,n/a,2018,20,3.002806,2.01,6.66,9.9472,0.5383,5.541
WOS:000433039000001,10.1103/PhysRevX.8.021050,n/a,Quantum Boltzmann Machine,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000433039000001,"Amin, Mohammad H.; Andriyash, Evgeny; Rolfe, Jason; Kulchytskyy, Bohdan; Melko, Roger",PHYSICAL REVIEW X,"PHYSICS, MULTIDISCIPLINARY",8,2,n/a,2018,18,4.644928,1.46,3.88,12.3097,0.7699,14.385
WOS:000439235200002,10.1117/1.JATIS.4.2.021402,n/a,Hitomi (ASTRO-H) X-ray Astronomy Satellite,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000439235200002,"Takahashi, Tadayuki; Kokubun, Motohide; Mitsuda, Kazuhisa; Kelley, Richard L.; Ohashi, Takaya",JOURNAL OF ASTRONOMICAL TELESCOPES INSTRUMENTS AND SYSTEMS,"ENGINEERING, AEROSPACE; OPTICS; INSTRUMENTS & INSTRUMENTATION",4,2,n/a,2018,15,1.909091,0.9,7.86,16.688,0.1628,2.688
WOS:000436005700006,10.1007/JHEP06(2018)114,n/a,Holographic complexity in Vaidya spacetimes. Part II,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000436005700006,"Chapman, Shira; Marrochio, Hugo; Myers, Robert C.",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",n/a,6,n/a,2018,15,3.002806,2.01,5,7.4604,1.3536,5.541
WOS:000426842600001,10.3389/fphar.2018.00202,MEDLINE:29662450,Poly(Ethylene Glycol)-Polylactide Micelles for Cancer Therapy,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000426842600001,"Wang, Jixue; Li, Shengxian; Han, Yuping; Guan, Jingjing; Chung, Shirley",FRONTIERS IN PHARMACOLOGY,PHARMACOLOGY & PHARMACY,9,n/a,n/a,2018,10,1.501577,2.1,6.66,4.7523,3.6417,3.831
WOS:000424090300006,10.1103/PhysRevD.97.046002,n/a,Can scalars have asymptotic symmetries?,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000424090300006,"Campiglia, Miguel; Coito, Leonardo; Mizera, Sebastian",PHYSICAL REVIEW D,"PHYSICS, PARTICLES & FIELDS; ASTRONOMY & ASTROPHYSICS",97,4,n/a,2018,10,2.393201,2.08,4.18,4.8136,3.6413,4.394
WOS:000429384000004,10.1038/lsa.2017.158,MEDLINE:30839535,Giant intrinsic chiro-optical activity in planar dielectric nanostructures,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000429384000004,"Zhu, Alexander Y.; Chen, Wei Ting; Zaidi, Aun; Huang, Yao-wei; Khorasaninejad, Mohammadreza",LIGHT-SCIENCE & APPLICATIONS,OPTICS,7,n/a,n/a,2018,9,3.992481,1.23,2.25,7.294,1.7799,13.625
WOS:000433118400001,10.3847/1538-4357/aabe2e,n/a,Detection of Intrinsic Source Structure at similar to 3 Schwarzschild Radii with Millimeter-VLBI Observations of SAGITTARIUS A*,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000433118400001,"Lu, Ru-Sen; Krichbaum, Thomas P.; Roy, Alan L.; Fish, Vincent L.; Doeleman, Sheperd S.",ASTROPHYSICAL JOURNAL,ASTRONOMY & ASTROPHYSICS,859,1,n/a,2018,9,2.107107,2.15,4.27,4.1882,4.6276,5.551
WOS:000429129800002,10.5194/tc-12-1157-2018,n/a,Canadian snow and sea ice: historical trends and projections,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000429129800002,"Mudryk, Lawrence R.; Derksen, Chris; Howell, Stephen; Laliberte, Fred; Thackeray, Chad",CRYOSPHERE,"GEOGRAPHY, PHYSICAL; GEOSCIENCES, MULTIDISCIPLINARY",12,4,1157-1176,2018,9,1.842795,1.07,4.88,8.44,0.8971,4.524
WOS:000428011100010,10.1130/G39806.1,n/a,Appalachian-style multi-terrane Wilson cycle model for the assembly of South China,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000428011100010,"Lin, Shoufa; Xing, Guangfu; Davis, Donald W.; Yin, Changqing; Wu, Meiling",GEOLOGY,GEOLOGY,46,4,319-322,2018,9,1.66537,0.88,5.4,10.2298,0.5161,5.073
WOS:000426564900005,10.1007/s10899-017-9695-1,MEDLINE:28589480,"Dark Flow, Depression and Multiline Slot Machine Play",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000426564900005,"Dixon, Mike J.; Stange, Madison; Larche, Chanel J.; Graydon, Candice; Fugelsang, Jonathan A.",JOURNAL OF GAMBLING STUDIES,"PSYCHOLOGY, MULTIDISCIPLINARY; SUBSTANCE ABUSE",34,1,73-84,2018,8,1.012987,0.77,7.9,10.3733,0.5183,2.09
WOS:000429451000006,10.1103/PhysRevLett.120.141602,MEDLINE:29694124,Scattering Amplitudes from Intersection Theory,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000429451000006,"Mizera, Sebastian",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",120,14,n/a,2018,8,3.520518,1.46,2.27,5.471,3.7345,8.839
