DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
Chapter,"Atoms, categorization, and conceptual change.","This chapter uses the concept of an [ATOM] to discuss ways in which categorization depends on conceptual change. Features of such theoretical concepts are theory-generated rather than observed. They fit much better with the “knowledge approach” to the nature of concepts than to classical, exemplar, or prototype theories. The concept of atom has undergone numerous changes in the history of chemistry, most notably the realization that atoms are divisible and have internal structure. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Thagard, Paul;Toombs, Ethan",,,,Elsevier Academic Press,2017,,"San Diego,  CA,  US",,,423,436,"Handbook of categorization in cognitive science, 2nd ed.",,*Chemical Elements;  *Classification (Cognitive Process);  *Cognitive Processes;  *Concept Formation; Theories; Molecules,,2017-28837-017,,,978-0-08-101107-2 (Hardcover); 978-0-12-809766-3 (Digital (undefined format)),
Chapter,Neurosemantics and categories.,"I argue that a theory of category meaning that starts with the shared resources of all animals (i.e., neurons) can, if suitably constructed, provide solutions to traditional problems in semantics. I argue that traditional approaches that rely too heavily on linguistics or folk psychological categories are likely to lead us astray. In light of these methodological considerations, I turn to the more theoretical question of how to construct a semantic theory for categories informed by neuroscience. The second part of the paper is concerned with describing such a theory and discussing some of its consequences. I present a theory of neural representations that describes them as a kind of code, and show that such an understanding scales naturally to include complex representations such as concepts. I use this understanding of representational states to underwrite a theory of semantics. However, the theory must be supplemented by what I call the statistical dependence hypothesis. Content is then determined by a combination of the states picked out by this hypothesis and the neural decoders that define subsequent transformations of the neural representations. I briefly describe a solution to the traditional problem of misrepresentation that is consistent with this theory. Finally, I discuss recent successes in large-scale brain modeling that were driven by the theory, and suggest that this work provides direct support for the underlying semantic theory. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Eliasmith, Chris",,,,Elsevier Academic Press,2017,,"San Diego,  CA,  US",,,1201,1224,"Handbook of categorization in cognitive science, 2nd ed.",,*Classification (Cognitive Process);  *Concepts;  *Linguistics;  *Semantics; Cognitive Neuroscience,,2017-28837-047,,,978-0-08-101107-2 (Hardcover); 978-0-12-809766-3 (Digital (undefined format)),http://dx.doi.org/10.1016/B978-0-08-101107-2.00048-8
Chapter,"Pathological responsibility, thought-action fusion, and thought control in OCD.","Obsessive compulsive disorder (OCD) is characterized by the persistent recurrence of unwanted thoughts. Indeed, perceived loss of control over thoughts is a key complaint of many OCD sufferers. The unwanted thoughts recur despite effortful proactive and reactive attempts to avoid or suppress them. Why they persist is a question that has been of considerable interest to researchers and clinicians; if we solve the problem of thought persistence we render the compulsions obsolete. Leading theories of OCD have identified three key factors in the persistence of obsessional thoughts: pathological responsibility, thought-action fusion, and thought suppression. This chapter presents a theoretical overview of each factor, case examples, a brief review of the empirical research, and clinical implications, followed by a commentary on current status and future directions. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Purdon, Christine",,,,Oxford University Press,2017,,"New York,  NY,  US",,,179,186,"Obsessive-compulsive disorder: Phenomenology, pathophysiology, and treatment.",,*Cognitions;  *Obsessions;  *Obsessive Compulsive Disorder;  *Pathology; Responsibility,,2017-43726-018,,,978-0-19-022816-3 (Hardcover),
Journal Article,Finding a home (somewhere) for medical aid in dying.,"Recent alterations to the criminal code following the passing of Bill C-14 have made Medical Aid in Dying (MAID) legal in Canada. With the new legislation in place, institutional questions arise concerning how MAID should be provided within the health care system. Alternatively, what are the limitations of conscientious objection to MAID? Palliative Care Units (PCUs) are in dire need of the answers to these questions, as they face contrary obligations towards patients requesting MAID. MAID seems to contradict some of the principle values of palliative care, while palliative care patients are also in a condition where they more likely to be eligible for MAID. Yet, examining some of these value contradictions more closely, there are more commonalities between MAID and palliative care than it would first seem. As a result, if PCUs conscientiously object to MAID as departments, then they are neglecting to fulfill their responsibility to honor their own missions and values. These commonalities in value between MAID and palliative care have clinical implications, as many of the patients who would prefer palliative care are also patients who would consider pursuing MAID concurrently. Three cases where patients could request both MAID and palliative care are outlined. They reveal a risk that a departmental conscientious objection to MAID in the PCU comes at the expense of patients receiving necessary palliative care. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Morrison, Kathryn",,,,"Nova Science Publishers, Inc.",2017,,US,10,1,9,13,,,*Health Care Psychology;  *Palliative Care; Medical Sciences,,2017-25756-001,"Morrison, Kathryn: Department of Philosophy, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, ka4morri@uwaterloo.ca",1939-5914(Print),,
Journal Article,In the thick of moral motivation.,"We accomplish three things in this paper. First, we provide evidence that the motivational internalism/externalism debate in moral psychology could be a false dichotomy born of ambiguity. Second, we provide further evidence for a crucial distinction between two different categories of belief in folk psychology: thick belief and thin belief. Third, we demonstrate how careful attention to deep features of folk psychology can help diagnose and defuse seemingly intractable philosophical disagreement in metaethics. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Buckwalter, Wesley;Turri, John",,,,Springer,2017,,Germany,8,2,433,453,,,*Attitudes;  *Ethics;  *Folk Psychology;  *Morality;  *Motivation; Externalization; Internalization,,2016-14723-001,"Buckwalter, Wesley: Department of Philosophy, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, wesleybuckwalter@gmail.com",1878-5166(Electronic);1878-5158(Print),,http://dx.doi.org/10.1007/s13164-016-0306-3
Journal Article,Narrating the sound of self: The role of pronunciation in learners’ self‐constructions in study‐abroad contexts.,"This paper discusses the findings of an empirical study that explores the relationship between study‐abroad experiences, learner identity, and pronunciation. We argue that the role of pronunciation as a personal domain of meaning‐making warrants more attention than it has hitherto received. To this end, we investigate the narratives of Canadian learners, studying abroad in Germany, in relation to discourses of language learning, culture, and identity, using a Critical Discourse Analysis approach. Our data, which we gained from semi‐structured interviews and e‐journals, shows that learners’ perceptions of pronunciation are closely linked to their views of the native‐speaker ideal, impacting their self‐constructions and interpretations of learning experience. In conclusion, we argue for a more differentiated understanding of pronunciation and its implications for language teaching and study abroad. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Müller, Mareike;Schmenk, Barbara",,,,Wiley-Blackwell Publishing Ltd.,2017,,United Kingdom,27,1,132,151,,,*Discourse Analysis;  *Pronunciation;  *Study Abroad; Native Language,,2017-11791-007,"Müller, Mareike: mmuller@vcu.edu",1473-4192(Electronic);0802-6106(Print),,http://dx.doi.org/10.1111/ijal.12109
Journal Article,Family matters: An Arendtian critique of organizational structures.,"In this paper, we use Hannah Arendt's conception of praxis and her critique of family to diagnose how praxis and diversity initiatives may suffer when family is used as an organizing principle. As an organizing principle, notions of family function to promote hierarchical sameness within organizations, thereby suppressing diversity. In response to hierarchical sameness, Arendtian praxis can destabilize homogenizing tendencies, and effect social change by challenging ‘business as usual��. Further, because praxis is situated within a diverse, plural community of actors, it is able to appreciate diversity within organizations. Hence, we suggest that organizations can ‘do’ diversity better with a structure that enables praxis to emerge. In addition, we point to ways in which family as an organizational principle privileges a narrow conception of family that obscures gender, racial, sexual and class‐based inequities. This project contributes to the feminist scholarship on diversity and organizational inequities. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Gardiner, Rita A.;Fulfer, Katy",,,,Wiley-Blackwell Publishing Ltd.,2017,,United Kingdom,24,5,506,518,,,*Diversity;  *Family;  *Organizational Structure; Social Change,,2017-11862-001,"Fulfer, Katy: University of Waterloo, Department of Philosophy, Women’s Studies Program, 200 University Ave West, Waterloo, ON, Canada, N2L 3G1, kfulfer@uwaterloo.ca",1468-0432(Electronic);0968-6673(Print),,http://dx.doi.org/10.1111/gwao.12177
Journal Article,What happened to the society of leisure? Of the gap between the “haves” and “have nots” (Canadian time use and well-being trends).,"Canadian time use trends of the past 30 years are examined, using General Social Survey data collected by Statistics Canada in 1981, 1986, 1992, 1998, 2005, and 2010. The article analyses changes in the allocation of time to paid work, domestic work, personal needs, and free time, as well as accompanying changes in perceived time pressure and subjective well-being. The article addresses four questions: (1) Do objectively measured time use trends support optimistic forecasts of the 1960s that transition to post-industrial societies is accompanied by substantial gains of free time? (2) Did the time use changes of the past 30 years affect different population and lifecycle groups evenly or asymmetrically? (3) Is there an accord or discord between the objective measures of time use and subjective feelings of time pressure? (4) What are the emotional, and socio-political implications of the observed time use trends? (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Zuzanek, Jiri",,,,Springer,2017,,Germany,130,1,27,38,,,*Emotions;  *Leisure Time;  *Time; Well Being,,2015-46771-001,"Zuzanek, Jiri: 37 Dixon Avenue, Toronto, ON, Canada, M4L 1N4, zuzanek@uwaterloo.ca",1573-0921(Electronic);0303-8300(Print),,http://dx.doi.org/10.1007/s11205-015-1133-0
Journal Article,Knowledge attributions and behavioral predictions.,"Recent work has shown that knowledge attributions affect how people think others should behave, more so than belief attributions do. This paper reports two experiments providing evidence that (a) knowledge attributions also affect behavioral predictions more strongly than belief attributions do, and (b) knowledge attributions facilitate faster behavioral predictions than belief attributions do. Thus, knowledge attributions play multiple critical roles in social cognition, guiding judgments about how people should and will behave. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Turri, John",,,,Wiley-Blackwell Publishing Ltd.,2017,,United Kingdom,41,8,2253,2261,,,*Attitudes;  *Attribution;  *Behavioral Sciences;  *Social Cognition;  *Knowledge (General); Theory of Mind,28000950,2016-61517-001,"Turri, John: Philosophy Department, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L3G1, john.turri@gmail.com",1551-6709(Electronic);0364-0213(Print),,http://dx.doi.org/10.1111/cogs.12469
Journal Article,Is semantic activation from print capacity limited? Evidence from the psychological refractory period paradigm.,"A widely accepted belief across a range of subfields in psychology is that print activates semantics “automatically” in some sense. One such sense is that activating semantics does not require capacity. This view is assessed here in the context of the Psychological Refractory Period (PRP) paradigm because it provides a way of determining whether semantic activation requires a form of capacity. Task 1 was tone classification. Task 2 was Stroop color naming. The distractors consisted of color words on some trials (e.g., BLUE), and semantic associates on others (e.g., TOMATO). Both types of distractors yielded a pattern of data inconsistent with the widespread view that semantic activation is capacity free. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Besner, Derek;Reynolds, Michael",,,,Springer,2017,,Germany,24,3,907,913,,,*Semantics;  *Stroop Effect; Written Language,27812959,2016-53875-001,"Besner, Derek: dbesner@uwaterloo.ca",1531-5320(Electronic);1069-9384(Print),,http://dx.doi.org/10.3758/s13423-016-1178-3
Comment/Reply,"Divergent life histories and other ecological adaptations: Examples of social-class differences in attention, cognition, and attunement to others.","Many behavioral and psychological effects of socioeconomic status (SES), beyond those presented by Pepper & Nettle cannot be adequately explained by life-history theory. We review such effects and reflect on the corresponding ecological affordances and constraints of low- versus high-SES environments, suggesting that several ecology-specific adaptations, apart from life-history strategies, are responsible for the behavioral and psychological effects of SES. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Grossmann, Igor;Varnum, Michael E. W.",,,,Cambridge University Press,2017,,United Kingdom,40,,,,,,*Life Span;  *Psychological Theories;  *Social Class;  *Socioeconomic Status; Attention; Cognition,,2018-01196-001,"Grossmann, Igor: Department of Psychology, University of Waterloo, Waterloo, ON, Canada, N2L 3G1, igrossma@uwaterloo.ca",1469-1825(Electronic);0140-525X(Print),,http://dx.doi.org/10.1017/S0140525X17000991
Journal Article,The distinctive “should” of assertability.,"Recent work has assumed that the normativity associated with assertion differs from the normativity of morality, practical rationality, etiquette, and legality. That is, whether an assertion “should” be made is not merely a function of these other familiar sorts of normativity and is especially connected to truth. Some researchers have challenged this assumption of distinctive normativity. In this paper I report two experiments that test the assumption. Participants read a brief story, judged whether an assertion should be made, and rated several other qualities of the assertion, including its truth value, morality, rationality, etiquette, legality, and folly. Of these qualities, truth value most strongly predicted assertability. The findings support the assumption of distinctive normativity and provide further evidence that the norm of our social practice of assertion is factive (i.e., it makes truth essential to assertability). (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Turri, John",,,,Taylor & Francis,2017,,United Kingdom,30,4,477,485,,,*Assertiveness;  *Morality;  *Rationality;  *Social Cognition;  *Truth; Social Norms,,2017-25092-006,"Turri, John: john.turri@gmail.com",1465-394X(Electronic);0951-5089(Print),,http://dx.doi.org/10.1080/09515089.2017.1285013
Comment/Reply,The licensure issue in I-O psychology: A Canadian perspective.,"Comments on an article by the Licensure of Consulting and I-O Psychologists Joint Task Force (see record 2017-28830-004). Of particular concern to the I-O psychology community in Canada has been the possibility that developments of the kinds discussed in the focal article would lead to mandatory licensure. A discussion that took place at the 2016 Canadian Psychological Association conference during an I-O psychology roundtable, on the registration/licensure of I-O psychology, highlighted a need to poll the Canadian Society for Industrial and Organizational Psychology (CSIOP) membership to obtain their perspective. The results of the CSIOP membership poll indicate that over 89% of respondents are against mandatory licensure. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Zugec, Lynda;Michela, John L.",,,,Cambridge University Press,2017,,United Kingdom,10,2,215,217,,,*Industrial and Organizational Psychology;  *Professional Licensing; Consulting Psychology,,2017-28830-012,"Zugec, Lynda: lynda.zugec@theworkforceconsultants.com",1754-9434(Electronic);1754-9426(Print),,http://dx.doi.org/10.1017/iop.2017.13
Journal Article,Crowdfunding science: Exigencies and strategies in an emerging genre of science communication.,"Crowdfunding is a novel mechanism for garnering monetary support from the online public, and increasingly it is being used to fund science. This article reports a small-scale study examining science-focused crowdfunding proposals from Kickstarter.com. By exploring the rhetoric of these proposals with respect to traditional grant funding proposals in the sciences, this study aims to understand how the language of science may be imported into this popular genre. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Mehlenbacher, Ashley Rose",,,,Taylor & Francis,2017,,United Kingdom,26,2,127,144,,,*Communication;  *Funding;  *Sciences; Technology,,2017-17842-003,"Mehlenbacher, Ashley Rose: Department of English Language and Literature, University of Waterloo, Hagey Hall of the Humanities, 200 University Ave, Waterloo, ON, Canada, N2L 3G1, arkelly@uwaterloo.ca",1542-7625(Electronic);1057-2252(Print),,http://dx.doi.org/10.1080/10572252.2017.1287361
Comment/Reply,Socioecological factors are linked to changes in prevalence of contempt over time.,"Gervais & Fessler argue that the perceived legitimacy of contempt has declined over time in the United States, citing evidence of a decrease in the frequency of its use in the American English corpus. We argue that this decline in contempt, as reflected in cultural products, is linked to shifts in key socioecological features previously associated with other forms of cultural change. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Varnum, Michael E. W.;Grossmann, Igor",,,,Cambridge University Press,2017,,United Kingdom,40,,,,,,*Ecological Factors;  *Sociocultural Factors; Contempt,29122041,2018-01130-001,"Varnum, Michael E. W.: Department of Psychology, Arizona State University, Tempe, AZ, US, 85287-1104, mvarnum@asu.edu",1469-1825(Electronic);0140-525X(Print),,http://dx.doi.org/10.1017/S0140525X16000881
