File,Title,USD
palgrave-macmillan.csv,Acta Politica,2690
palgrave-macmillan.csv,American Journal of Cultural Sociology,2690
palgrave-macmillan.csv,Asian Business and Management,2690
palgrave-macmillan.csv,BioSocieties,2690
palgrave-macmillan.csv,British Politics,2690
palgrave-macmillan.csv,Comparative Economic Studies,2690
palgrave-macmillan.csv,Comparative European Politics,2690
palgrave-macmillan.csv,Contemporary Political Theory,2690
palgrave-macmillan.csv,Crime Prevention and Community Safety,2690
palgrave-macmillan.csv,European Journal of Development Research,2690
palgrave-macmillan.csv,European Journal of Information Systems,2600
palgrave-macmillan.csv,European Political Science,2690
palgrave-macmillan.csv,French Politics,2690
palgrave-macmillan.csv,Health Systems,2690
palgrave-macmillan.csv,Interest Groups and Advocacy,2690
palgrave-macmillan.csv,International Journal of Disclosure and Governance,2690
palgrave-macmillan.csv,International Politics,2600
palgrave-macmillan.csv,International Politics Reviews,2600
palgrave-macmillan.csv,Journal of Asset Management,2690
palgrave-macmillan.csv,Journal of Banking Regulation,2690
palgrave-macmillan.csv,Journal of Brand Management,2690
palgrave-macmillan.csv,Journal of Financial Services Marketing,2690
palgrave-macmillan.csv,Journal of Information Technology,3140
palgrave-macmillan.csv,Journal of Information Technology Teaching Cases,2600
palgrave-macmillan.csv,Journal of International Business Studies,2600
palgrave-macmillan.csv,Journal of Marketing Analytics,2690
palgrave-macmillan.csv,Journal of Public Health Policy,2690
palgrave-macmillan.csv,Journal of Revenue and Pricing Management,2690
palgrave-macmillan.csv,Journal of Simulation,2600
palgrave-macmillan.csv,Journal of the Operational Research Society,2600
palgrave-macmillan.csv,Knowledge Management Research and Practice,2600
palgrave-macmillan.csv,Latino Studies,2690
palgrave-macmillan.csv,Maritime Economics and Logistics,2690
palgrave-macmillan.csv,Palgrave Communications,1180
palgrave-macmillan.csv,Place Branding and Public Diplomacy,2690
palgrave-macmillan.csv,Polity,2600
palgrave-macmillan.csv,postmedieval: a journal of medieval cultural studies,2690
palgrave-macmillan.csv,Risk Management,2690
palgrave-macmillan.csv,Security Journal,2690
palgrave-macmillan.csv,Social Theory and Health,2690
palgrave-macmillan.csv,Subjectivity,2690
palgrave-macmillan.csv,The Geneva Papers on Risk and Insurance,2690
palgrave-macmillan.csv,The Geneva Risk and Insurance Review,2690
palgrave-macmillan.csv,Urban Design International,2690
aps.csv,Physical Review A,2200
aps.csv,Physical Review B,2200
aps.csv,Physical Review C,2200
aps.csv,Physical Review D,2200
aps.csv,Physical Review E,2200
aps.csv,Physical Review Applied,2200
aps.csv,Physical Review Fluids,2200
aps.csv,Physical Review Materials,2200
aps.csv,Physical Review Letters,3300
aps.csv,Phsyical Review X,3600
aps.csv,Phsyical Review Applied (Letters),3000
nature.csv,Nature Communications,5200
nature.csv,Scientific Data,1690
nature.csv,Scientific Reports,1790
nature.csv,Communications Biology,3170
nature.csv,Communications Chemistry,3170
nature.csv,Communications Physics,3170
nature.csv,npj 2D Materials and Applications,2680
nature.csv,npj Aging and Mechanisms of Disease,2680
nature.csv,npj Biofilms and Microbiomes,3170
nature.csv,npj Breast Cancer,2990
nature.csv,npj Clean Water,2680
