DOI,Article Title,Authors,Source,Research Area,Publication Date,Times Cited,Filename
10.1016/j.jqsrt.2013.07.002,The HITRAN2012 molecular spectroscopic database,"Rothman, L. S.; Gordon, I. E.; Babikov, Y.; Barbe, A.; Benner, D. Chris",JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER,SPECTROSCOPY; OPTICS,2013,1756,OA 2013-2017.csv
10.1080/15548627.2015.1100356,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition),"Klionsky, Daniel J.; Abdelmohsen, Kotb; Abe, Akihisa; Abedin, Md Joynal; Abeliovich, Hagai",AUTOPHAGY,CELL BIOLOGY,2016,1529,OA 2013-2017.csv
10.1016/S0140-6736(15)01024-7,"Breastfeeding in the 21st century: epidemiology, mechanisms, and lifelong effect","Victora, Cesar G.; Bahl, Rajiv; Barros, Aluisio J. D.; Franca, Giovanny V. A.; Horton, Susan",LANCET,"MEDICINE, GENERAL & INTERNAL; PEDIATRICS",2016,734,"OA 2013-2017.csv,OA other 2013-2017.csv"
10.1038/ncomms6682,A highly efficient polysulfide mediator for lithium-sulfur batteries,"Liang, Xiao; Hart, Connor; Pang, Quan; Garsuch, Arnd; Weiss, Thomas",NATURE COMMUNICATIONS,"MATERIALS SCIENCE, MULTIDISCIPLINARY; MULTIDISCIPLINARY SCIENCES",2015,586,OA 2013-2017.csv
10.1038/ncomms5759,Surface-enhanced redox chemistry of polysulphides on a metallic and polar host for lithium-sulphur batteries,"Pang, Quan; Kundu, Dipan; Cuisinier, Marine; Nazar, L. F.",NATURE COMMUNICATIONS,MULTIDISCIPLINARY SCIENCES,2014,497,OA 2013-2017.csv
10.1016/j.amepre.2012.10.018,Electronic Nicotine Delivery Systems International Tobacco Control Four-Country Survey,"Adkison, Sarah E.; O'Connor, Richard J.; Bansal-Travers, Maansi; Hyland, Andrew; Borland, Ron",AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; MEDICINE, GENERAL & INTERNAL",2013,354,OA 2013-2017.csv
10.1038/NMICROBIOL.2016.48,A new view of the tree of life,"Hug, Laura A.; Baker, Brett J.; Anantharaman, Karthik; Brown, Christopher T.; Probst, Alexander J.",NATURE MICROBIOLOGY,MICROBIOLOGY,2016,331,"OA 2013-2017.csv,OA other 2013-2017.csv"
10.1109/COMST.2015.2477041,Network Function Virtualization: State-of-the-Art and Research Challenges,"Mijumbi, Rashid; Serrat, Joan; Gorricho, Juan-Luis; Bouten, Niels; De Turck, Filip",IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,"TELECOMMUNICATIONS; COMPUTER SCIENCE, INFORMATION SYSTEMS",2016,323,OA 2013-2017.csv
10.1007/s10633-014-9473-7,ISCEV Standard for full-field clinical electroretinography (2015 update),"McCulloch, Daphne L.; Marmor, Michael F.; Brigell, Mitchell G.; Hamilton, Ruth; Holder, Graham E.",DOCUMENTA OPHTHALMOLOGICA,OPHTHALMOLOGY,2015,318,OA 2013-2017.csv
10.1021/nn305559j,Carbon-Nanotube-Embedded Hydrogel Sheets for Engineering Cardiac Constructs and Bioactuators,"Shin, Su Ryon; Jung, Sung Mi; Zalabany, Momen; Kim, Keekyoung; Zorlutuna, Pinar",ACS NANO,"CHEMISTRY, MULTIDISCIPLINARY; CHEMISTRY, PHYSICAL; NANOSCIENCE & NANOTECHNOLOGY; MATERIALS SCIENCE, MULTIDISCIPLINARY",2013,305,OA 2013-2017.csv
