DOI,CSV files
10.1186/s12889-015-1733-2,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv"
10.1177/1352458514559297,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv"
10.1017/epi.2014.7,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv"
10.1017/S0714980814000026,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv"
10.1017/asb.2014.13,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv"
10.3732/apps.1300093,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv"
10.1007/s13177-014-0097-9,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv"
10.1080/01916122.2015.1113208,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv"
10.2196/mhealth.9011,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv"
10.1002/jpln.201600578,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv"
10.1002/2014JD022397,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv"
10.2196/mhealth.9489,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv"
10.1007/s11468-016-0325-z,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv,SciVal 2017-2018 Waterloo affiliated pubs.csv"
10.1167/iovs.14-14931,"InCites 2013-2018 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv,SciVal 2013-2016 Waterloo affiliated pubs.csv"
