Accession Number,DOI,Pubmed ID,Article Title,Link,Authors,Source,Research Area,Volume,Issue,Pages,Publication Date,Times Cited,Journal Expected Citations,Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Percentile in Subject Area,Journal Impact Factor
WOS:000427401500009,10.1136/bjsports-2017-097608,MEDLINE:28698222,"A systematic review, meta-analysis and meta-regression of the effect of protein supplementation on resistance training-induced gains in muscle mass and strength in healthy adults",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000427401500009,"Morton, Robert W.; Murphy, Kevin T.; McKellar, Sean R.; Schoenfeld, Brad J.; Henselmans, Menno",BRITISH JOURNAL OF SPORTS MEDICINE,SPORT SCIENCES,52,6,376-+,2018,55,4.3875,1.74,12.54,31.6423,0.0909,7.867
WOS:000425744600002,10.1002/smll.201702737,n/a,Silicon-Based Anodes for Lithium-Ion Batteries: From Fundamentals to Practical Applications,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000425744600002,"Feng, Kun; Li, Matthew; Liu, Wenwen; Kashkooli, Ali Ghorbani; Xiao, Xingcheng",SMALL,"NANOSCIENCE & NANOTECHNOLOGY; CHEMISTRY, PHYSICAL; MATERIALS SCIENCE, MULTIDISCIPLINARY; CHEMISTRY, MULTIDISCIPLINARY; PHYSICS, APPLIED; PHYSICS, CONDENSED MATTER",14,8,n/a,2018,47,7.56701,5.73,6.21,8.2028,0.86,9.598
WOS:000419419200017,10.1021/acs.analchem.7b04502,MEDLINE:29116756,Advances in Solid Phase Microextraction and Perspective on Future Directions,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000419419200017,"Reyes-Garces, Nathaly; Gionfriddo, Emanuela; Gmez-Rios, German Augusto; Alam, Md. Nazmul; Boyaci, Ezel",ANALYTICAL CHEMISTRY,"CHEMISTRY, ANALYTICAL",90,1,302-360,2018,46,14.34375,3.59,3.21,12.8098,0.1498,6.042
WOS:000428014900003,10.1103/PhysRevLett.120.121602,MEDLINE:29694101,Toward a Definition of Complexity for Quantum Field Theory States,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000428014900003,"Chapman, Shira; Heller, Michal P.; Marrochio, Hugo; Pastawski, Fernando",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",120,12,n/a,2018,41,3.520518,1.46,11.65,28.0389,0.1327,8.839
WOS:000441411500013,10.1002/adma.201800561,MEDLINE:29904941,30 Years of Lithium-Ion Batteries,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000441411500013,"Li, Matthew; Lu, Jun; Chen, Zhongwei; Amine, Khalil",ADVANCED MATERIALS,"MATERIALS SCIENCE, MULTIDISCIPLINARY; CHEMISTRY, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY; CHEMISTRY, PHYSICAL; PHYSICS, APPLIED; PHYSICS, CONDENSED MATTER",30,33,n/a,2018,33,12.119048,5.73,2.72,5.7594,2.0738,21.95
WOS:000425961400004,10.3847/1538-4357/aaaa1b,n/a,"Shaken Snow Globes: Kinematic Tracers of the Multiphase Condensation Cascade in Massive Galaxies, Groups, and Clusters",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000425961400004,"Gaspari, M.; Mcdonald, M.; Hamer, S. L.; Brighenti, F.; Temi, P.",ASTROPHYSICAL JOURNAL,ASTRONOMY & ASTROPHYSICS,854,2,n/a,2018,30,2.107107,2.15,14.24,13.9606,0.2741,5.551
WOS:000431301800015,10.1038/s41567-018-0048-5,n/a,Neural-network quantum state tomography,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000431301800015,"Torlai, Giacomo; Mazzola, Guglielmo; Carrasquilla, Juan; Troyer, Matthias; Melko, Roger",NATURE PHYSICS,"PHYSICS, MULTIDISCIPLINARY",14,5,447-+,2018,30,7.900552,1.46,3.8,20.5162,0.3053,22.727
WOS:000425287000001,10.1038/s41467-018-03116-z,MEDLINE:29453414,Chemisorption of polysulfides through redox reactions with organic molecules for lithium-sulfur batteries,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000425287000001,"Li, GE; Wang, Xiaolei; Seo, Min Ho; Li, Matthew; Ma, LU",NATURE COMMUNICATIONS,"MATERIALS SCIENCE, MULTIDISCIPLINARY",9,n/a,n/a,2018,22,3.424248,1.82,6.42,12.0721,0.5458,12.353
WOS:000425613700001,10.1007/s10926-016-9690-x,MEDLINE:28224415,"Effectiveness of Workplace Interventions in Return-to-Work for Musculoskeletal, Pain-Related and Mental Health Conditions: An Update of the Evidence and Messages for Practitioners",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000425613700001,"Cullen, K. L.; Irvin, E.; Collie, A.; Clay, F.; Gensby, U.",JOURNAL OF OCCUPATIONAL REHABILITATION,REHABILITATION; SOCIAL ISSUES,28,1,15-Jan,2018,22,3.25,1.07,6.77,20.646,0.1238,1.858
WOS:000423017000007,10.1039/c7ee03083e,n/a,Na11Sn2PS12: a new solid state sodium superionic conductor,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000423017000007,"Zhang, Z.; Ramos, E.; Lalere, F.; Assoud, A.; Kaup, K.",ENERGY & ENVIRONMENTAL SCIENCE,"ENVIRONMENTAL SCIENCES; ENERGY & FUELS; ENGINEERING, CHEMICAL; CHEMISTRY, MULTIDISCIPLINARY",11,1,87-93,2018,22,8.092937,1.82,2.72,12.1082,0.2122,30.067
