DOI,Filename,Article Title,Authors,Source,Research Area,Publication Date,Times Cited,publisher,is-referenced-by-count,container-title,subject,crossref-data,is_oa,journal_is_oa,oa_status
10.1016/j.jqsrt.2013.07.002,OA 2013-2017.csv,The HITRAN2012 molecular spectroscopic database,"Rothman, L. S.; Gordon, I. E.; Babikov, Y.; Barbe, A.; Benner, D. Chris",JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER,SPECTROSCOPY; OPTICS,2013,1756,Elsevier BV,1907,Journal of Quantitative Spectroscopy and Radiative Transfer,,True,True,False,green
10.1080/15548627.2015.1100356,OA 2013-2017.csv,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition),"Klionsky, Daniel J.; Abdelmohsen, Kotb; Abe, Akihisa; Abedin, Md Joynal; Abeliovich, Hagai",AUTOPHAGY,CELL BIOLOGY,2016,1529,Informa UK Limited,1714,Autophagy,,True,True,False,green
10.1016/S0140-6736(15)01024-7,"OA 2013-2017.csv,OA other 2013-2017.csv","Breastfeeding in the 21st century: epidemiology, mechanisms, and lifelong effect","Victora, Cesar G.; Bahl, Rajiv; Barros, Aluisio J. D.; Franca, Giovanny V. A.; Horton, Susan",LANCET,"MEDICINE, GENERAL & INTERNAL; PEDIATRICS",2016,734,Elsevier BV,1033,The Lancet,General Medicine,True,True,False,hybrid
10.1038/ncomms6682,OA 2013-2017.csv,A highly efficient polysulfide mediator for lithium-sulfur batteries,"Liang, Xiao; Hart, Connor; Pang, Quan; Garsuch, Arnd; Weiss, Thomas",NATURE COMMUNICATIONS,"MATERIALS SCIENCE, MULTIDISCIPLINARY; MULTIDISCIPLINARY SCIENCES",2015,586,Springer Science and Business Media LLC,744,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry",True,True,True,gold
10.1038/ncomms5759,OA 2013-2017.csv,Surface-enhanced redox chemistry of polysulphides on a metallic and polar host for lithium-sulphur batteries,"Pang, Quan; Kundu, Dipan; Cuisinier, Marine; Nazar, L. F.",NATURE COMMUNICATIONS,MULTIDISCIPLINARY SCIENCES,2014,497,Springer Science and Business Media LLC,593,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry",True,True,False,bronze
10.1016/j.amepre.2012.10.018,OA 2013-2017.csv,Electronic Nicotine Delivery Systems International Tobacco Control Four-Country Survey,"Adkison, Sarah E.; O'Connor, Richard J.; Bansal-Travers, Maansi; Hyland, Andrew; Borland, Ron",AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; MEDICINE, GENERAL & INTERNAL",2013,354,Elsevier BV,368,American Journal of Preventive Medicine,,True,True,False,green
10.1038/NMICROBIOL.2016.48,"OA 2013-2017.csv,OA other 2013-2017.csv",A new view of the tree of life,"Hug, Laura A.; Baker, Brett J.; Anantharaman, Karthik; Brown, Christopher T.; Probst, Alexander J.",NATURE MICROBIOLOGY,MICROBIOLOGY,2016,331,Springer Science and Business Media LLC,442,Nature Microbiology,Immunology;Microbiology (medical);Applied Microbiology and Biotechnology;Genetics;Cell Biology;Microbiology,True,True,False,hybrid
10.1109/COMST.2015.2477041,OA 2013-2017.csv,Network Function Virtualization: State-of-the-Art and Research Challenges,"Mijumbi, Rashid; Serrat, Joan; Gorricho, Juan-Luis; Bouten, Niels; De Turck, Filip",IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,"TELECOMMUNICATIONS; COMPUTER SCIENCE, INFORMATION SYSTEMS",2016,323,Institute of Electrical and Electronics Engineers (IEEE),390,IEEE Communications Surveys & Tutorials,,True,True,False,green
10.1007/s10633-014-9473-7,OA 2013-2017.csv,ISCEV Standard for full-field clinical electroretinography (2015 update),"McCulloch, Daphne L.; Marmor, Michael F.; Brigell, Mitchell G.; Hamilton, Ruth; Holder, Graham E.",DOCUMENTA OPHTHALMOLOGICA,OPHTHALMOLOGY,2015,318,Springer Science and Business Media LLC,310,Documenta Ophthalmologica,Ophthalmology;Physiology (medical);Sensory Systems,True,True,False,bronze
10.1021/nn305559j,OA 2013-2017.csv,Carbon-Nanotube-Embedded Hydrogel Sheets for Engineering Cardiac Constructs and Bioactuators,"Shin, Su Ryon; Jung, Sung Mi; Zalabany, Momen; Kim, Keekyoung; Zorlutuna, Pinar",ACS NANO,"CHEMISTRY, MULTIDISCIPLINARY; CHEMISTRY, PHYSICAL; NANOSCIENCE & NANOTECHNOLOGY; MATERIALS SCIENCE, MULTIDISCIPLINARY",2013,305,American Chemical Society (ACS),362,ACS Nano,,True,True,False,green
10.1093/mnras/stt601,OA 2013-2017.csv,CFHTLenS tomographic weak lensing cosmological parameter constraints: Mitigating the impact of intrinsic galaxy alignments,"Heymans, Catherine; Grocutt, Emma; Heavens, Alan; Kilbinger, Martin; Kitching, Thomas D.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,304,Oxford University Press (OUP),332,Monthly Notices of the Royal Astronomical Society,,True,True,False,bronze
10.1103/PhysRevLett.115.250402,"OA 2013-2017.csv,OA other 2013-2017.csv",Strong Loophole-Free Test of Local Realism,"Shalm, Lynden K.; Meyer-Scott, Evan; Christensen, Bradley G.; Bierhorst, Peter; Wayne, Michael A.",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",2015,284,American Physical Society (APS),347,Physical Review Letters,,True,True,False,hybrid
10.1016/j.micres.2013.09.009,OA 2013-2017.csv,Bacteria with ACC deaminase can promote plant growth and help to feed the world,"Glick, Bernard R.",MICROBIOLOGICAL RESEARCH,MICROBIOLOGY,2014,277,Elsevier BV,434,Microbiological Research,,True,True,False,hybrid
10.1093/mnras/sts612,OA 2013-2017.csv,SCUBA-2: the 10 000 pixel bolometer camera on the James Clerk Maxwell Telescope,"Holland, W. S.; Bintley, D.; Chapin, E. L.; Chrysostomou, A.; Davis, G. R.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,239,Oxford University Press (OUP),259,Monthly Notices of the Royal Astronomical Society,,True,True,False,bronze
10.1103/PhysRevLett.110.260601,OA 2013-2017.csv,Universal Slow Growth of Entanglement in Interacting Strongly Disordered Systems,"Serbyn, Maksym; Papic, Z.; Abanin, Dmitry A.",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",2013,224,American Physical Society (APS),246,Physical Review Letters,,True,True,False,hybrid
10.1103/PhysRevX.4.031035,OA 2013-2017.csv,Probing the Chiral Anomaly with Nonlocal Transport in Three-Dimensional Topological Semimetals,"Parameswaran, S. A.; Grover, T.; Abanin, D. A.; Pesin, D. A.; Vishwanath, A.",PHYSICAL REVIEW X,"PHYSICS, MULTIDISCIPLINARY",2014,223,American Physical Society (APS),173,Physical Review X,,True,True,True,gold
10.1021/ma4017696,OA 2013-2017.csv,Dynamics near Free Surfaces and the Glass Transition in Thin Polymer Films: A View to the Future,"Ediger, M. D.; Forrest, J. A.",MACROMOLECULES,POLYMER SCIENCE,2014,222,American Chemical Society (ACS),263,Macromolecules,,True,True,False,hybrid
10.1093/mnras/stt041,OA 2013-2017.csv,CFHTLenS: combined probe cosmological model comparison using 2D weak gravitational lensing,"Kilbinger, Martin; Fu, Liping; Heymans, Catherine; Simpson, Fergus; Benjamin, Jonathan",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,221,Oxford University Press (OUP),232,Monthly Notices of the Royal Astronomical Society,,True,True,False,bronze
10.1093/mnras/sts454,OA 2013-2017.csv,Bayesian galaxy shape measurement for weak lensing surveys - III. Application to the Canada-France-Hawaii Telescope Lensing Survey,"Miller, L.; Heymans, C.; Kitching, T. D.; Van Waerbeke, L.; Erben, T.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,214,Oxford University Press (OUP),224,Monthly Notices of the Royal Astronomical Society,Space and Planetary Science;Astronomy and Astrophysics,True,True,False,bronze
10.1093/mnras/stt928,OA 2013-2017.csv,CFHTLenS: the Canada-France-Hawaii Telescope Lensing Survey - imaging data and catalogue products,"Erben, T.; Hildebrandt, H.; Miller, L.; Van Waerbeke, L.; Heymans, C.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,213,Oxford University Press (OUP),227,Monthly Notices of the Royal Astronomical Society,,True,True,False,bronze
10.3945/jn.115.219634,OA 2013-2017.csv,Addressing Current Criticism Regarding the Value of Self-Report Dietary Data,"Subar, Amy F.; Freedman, Laurence S.; Tooze, Janet A.; Kirkpatrick, Sharon I.; Boushey, Carol",JOURNAL OF NUTRITION,NUTRITION & DIETETICS,2015,178,Oxford University Press (OUP),216,The Journal of Nutrition,,True,True,False,bronze
10.1093/nar/gkw1004,OA 2013-2017.csv,CARD 2017: expansion and model-centric curation of the comprehensive antibiotic resistance database,"Jia, Baofeng; Raphenya, Amogelang R.; Alcock, Brian; Waglechner, Nicholas; Guo, Peiyao",NUCLEIC ACIDS RESEARCH,BIOCHEMISTRY & MOLECULAR BIOLOGY,2017,173,Oxford University Press (OUP),315,Nucleic Acids Research,,True,True,True,gold
10.1007/JHEP07(2014)033,OA 2013-2017.csv,"Scattering of massless particles: scalars, gluons and gravitons","Cachazo, Freddy; He, Song; Yuan, Ellis Ye",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",2014,173,Springer Nature,204,Journal of High Energy Physics,,True,True,True,gold
10.1093/mnrasl/sls053,OA 2013-2017.csv,Constraining self-interacting dark matter with the Milky Way's dwarf spheroidals,"Zavala, Jesus; Vogelsberger, Mark; Walker, Matthew G.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,167,Oxford University Press (OUP),187,Monthly Notices of the Royal Astronomical Society: Letters,,True,True,False,bronze
10.1038/NENERGY.2016.119,OA 2013-2017.csv,A high-capacity and long-life aqueous rechargeable zinc battery using a metal oxide intercalation cathode,"Kundu, Dipan; Adams, Brian D.; Ort, Victor Du; Vajargah, Shahrzad Hosseini; Nazar, Linda F.",NATURE ENERGY,"MATERIALS SCIENCE, MULTIDISCIPLINARY; ENERGY & FUELS",2016,143,Springer Science and Business Media LLC,264,Nature Energy,,True,False,False,closed
10.1016/j.aop.2014.11.008,OA 2013-2017.csv,Periodically driven ergodic and many-body localized quantum systems,"Ponte, Pedro; Chandran, Anushya; Papic, Z.; Abanin, Dmitry A.",ANNALS OF PHYSICS,"PHYSICS, MULTIDISCIPLINARY",2015,138,Elsevier BV,153,Annals of Physics,General Physics and Astronomy,True,True,False,green
10.1890/130300,OA 2013-2017.csv,"Managing the whole landscape: historical, hybrid, and novel ecosystems","Hobbs, Richard J.; Higgs, Eric; Hall, Carol M.; Bridgewater, Peter; Chapin, F. Stuart, III",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,ECOLOGY; ENVIRONMENTAL SCIENCES,2014,137,Wiley,158,Frontiers in Ecology and the Environment,,True,True,False,bronze
10.1371/journal.pone.0058640,OA 2013-2017.csv,The Complete Genome Sequence of the Plant Growth-Promoting Bacterium Pseudomonas sp UW4,"Duan, Jin; Jiang, Wei; Cheng, Zhenyu; Heikkila, John J.; Glick, Bernard R.",PLOS ONE,MULTIDISCIPLINARY SCIENCES; MICROBIOLOGY,2013,132,Public Library of Science (PLoS),64,PLoS ONE,,True,True,True,gold
10.1038/ncomms4546,OA 2013-2017.csv,Porphyrin-phospholipid liposomes permeabilized by near-infrared light,"Carter, Kevin A.; Shao, Shuai; Hoopes, Matthew I.; Luo, Dandan; Ahsan, Bilal",NATURE COMMUNICATIONS,MULTIDISCIPLINARY SCIENCES,2014,132,Springer Science and Business Media LLC,146,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry",True,True,False,hybrid
10.1007/JHEP05(2013)093,"OA 2013-2017.csv,OA other 2013-2017.csv",Exact results in D=2 supersymmetric gauge theories,"Doroud, Nima; Gomis, Jaume; Le Folch, Bruno; Lee, Sungjay",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",2013,128,Springer Nature,138,Journal of High Energy Physics,,True,True,False,bronze
10.1001/jamainternmed.2013.189,OA 2013-2017.csv,The Mental Activity and eXercise (MAX) Trial A Randomized Controlled Trial to Enhance Cognitive Function in Older Adults,"Barnes, Deborah E.; Santos-Modesitt, Wendy; Poelke, Gina; Kramer, Arthur F.; Castro, Cynthia",JAMA INTERNAL MEDICINE,"MEDICINE, GENERAL & INTERNAL; CLINICAL NEUROLOGY",2013,128,American Medical Association (AMA),140,JAMA Internal Medicine,,True,True,False,bronze
10.1021/ja511444e,OA 2013-2017.csv,Hydrogen Peroxide Displacing DNA from Nanoceria: Mechanism and Detection of Glucose in Serum,"Liu, Biwu; Sun, Ziyi; Huang, Po-Jung Jimmy; Liu, Juewen",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"CHEMISTRY, MULTIDISCIPLINARY",2015,127,American Chemical Society (ACS),160,Journal of the American Chemical Society,,True,True,False,hybrid
10.1007/JHEP07(2015)149,OA 2013-2017.csv,"Scattering equations and matrices: from Einstein to Yang-Mills, DBI and NLSM","Cachazo, Freddy; He, Song; Yuan, Ellis Ye",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",2015,127,Springer Nature,149,Journal of High Energy Physics,,True,True,True,gold
