DOI,agency id,agency label
10.19189/MaP.2016.OMB.222,medra,mEDRA
10.3233/NRE-131030,medra,mEDRA
10.4401/ag-6339,medra,mEDRA
10.3233/SAV-120759,medra,mEDRA
10.6138/JIT.2013.14.4.01,airiti,Airiti
10.3233/WOR-131683,medra,mEDRA
10.3233/WOR-121538,medra,mEDRA
10.2196/resprot.5204,crossref,Crossref
10.1161/STROKEAHA.117.018658,crossref,Crossref
10.19189/MaP.2015.OMB.216,medra,mEDRA
10.2436/20.1501.01.272,medra,mEDRA
10.3233/WOR-121573,medra,mEDRA
10.19189/MaP.2016.OMB.258,medra,mEDRA
10.3978/j.issn.2223-4292.2015.10.09,istic,ISTIC
10.3978/j.issn.2078-6891.2015.025,istic,ISTIC
10.3233/WOR-141957,medra,mEDRA
10.19189/MaP.2017.OMB.282,medra,mEDRA
10.11909/j.issn.1671-5411.2016.04.006,istic,ISTIC
10.7498/aps.65.174201,istic,ISTIC
10.6122/CJP.52.1248,airiti,Airiti
10.3233/BME-140980,medra,mEDRA
10.3233/WOR-131684,medra,mEDRA
10.14601/Phytopathol_Mediterr-18072,medra,mEDRA
10.7498/aps.65.178201,istic,ISTIC
10.18148/srm/2016.v10i3.6217,datacite,DataCite
10.2143/SIS.28.0.3285327,medra,mEDRA
10.5370/JEET.2018.13.4.1407,kisti,KISTI
10.14283/jfa.2018.31,datacite,DataCite
10.19189/MaP.2015.OMB.200,medra,mEDRA
10.23736/S0022-4707.16.06355-6,medra,mEDRA
10.6688/JISE.2017.33.4.14,airiti,Airiti
10.3233/978-1-61499-488-6-269,medra,mEDRA
10.3233/WOR-131754,medra,mEDRA
10.3233/FI-2013-804,medra,mEDRA
10.3969/j.issn.1001-8360.2017.09.004,istic,ISTIC
10.17169/fqs-19.3.3087,datacite,DataCite
10.16383/j.aas.2018.c170463,cnki,CNKI
10.16339/j.cnki.hdxbzkb.2017.02.002,cnki,CNKI
10.3969/j.issn.1001-506X.2018.03.17,istic,ISTIC
10.19562/j.chinasae.qcgc.2018.02.014,cnki,CNKI
10.3969/j.issn.1001-506X.2017.12.12,istic,ISTIC
10.16511/j.cnki.qhdxxb.2017.21.029,cnki,CNKI
10.19476/j.ysxb.1004.0609.2017.08.11,cnki,CNKI
10.3969/j.issn.1001-0548.2018.04.019,istic,ISTIC
10.3969/j.issn.1000-565X.2018.06.007,istic,ISTIC
10.16511/j.cnki.qhdxxb.2018.22.032,cnki,CNKI
10.16339/j.cnki.hdxbzkb.2017.10.004,cnki,CNKI
10.12017/dzkx.2017.038,istic,ISTIC
10.13225/j.cnki.jccs.2017.1138,cnki,CNKI
10.13949/j.cnki.nrjgc.2018.02.010,cnki,CNKI
10.3969/j.issn.1005-9954.2018.04.001,istic,ISTIC
10.7511/dllgxb201802015,istic,ISTIC
10.1633/JISTaP.2018.6.3.4,kisti,KISTI
10.19595/j.cnki.1000-6753.tces.171749,cnki,CNKI
10.3969/j.issn.0258-2724.2018.06.023,istic,ISTIC
10.5061/dryad.7fc8c,datacite,DataCite
10.18148/srm/2015.v9i2.6128,datacite,DataCite
10.6052/j.issn.1000-4750.2012.04.0275,istic,ISTIC
10.11821/dlxb201601002,istic,ISTIC
10.18148/srm/2016.v10i2.6213,datacite,DataCite
10.3233/978-1-61499-328-5-57,medra,mEDRA
10.13334/j.0258-8013.pcsee.2014.21.011,cnki,CNKI
10.3233/978-1-61499-328-5-97,medra,mEDRA
10.3969/j.issn.0563-5020.2014.02.014,istic,ISTIC
10.3969/j.issn.0563-5020.2014.02.001,istic,ISTIC
10.6052/j.issn.1000-4750.2012.07.0489,istic,ISTIC
10.7511/dllgxb201603013,istic,ISTIC
10.6041/j.issn.1000-1298.2016.09.049,istic,ISTIC
10.13374/j.issn1001-053x.2014.10.014,cnki,CNKI
10.3969/j.issn.0253-374x.2013.04.021,istic,ISTIC
10.3969/j.issn.0563-5020.2013.03.004,istic,ISTIC
10.3969/j.issn.0563-5020.2013.03.005,istic,ISTIC
10.3233/WIA-130274,medra,mEDRA
10.6135/ijprt.org.tw/2013.6(5).673,airiti,Airiti
10.22036/pcr.2015.7298,medra,mEDRA
10.6135/ijprt.org.tw/2014.7(2).101,airiti,Airiti
10.6041/j.issn.1000-1298.2014.07.006,istic,ISTIC
10.3969/j.issn.1001-506X.2015.06.17,istic,ISTIC
10.6041/j.issn.1000-1298.2014.12.004,istic,ISTIC
10.12017/dzkx.2016.050,istic,ISTIC
10.12017/dzkx.2016.048,istic,ISTIC
10.3969/j.issn.0372-2112.2015.02.004,istic,ISTIC
