DOI,agency id,agency label
10.19189/MaP.2016.OMB.222,medra,mEDRA
10.4401/ag-6339,medra,mEDRA
10.3233/SAV-120759,medra,mEDRA
10.1161/STROKEAHA.117.018658,crossref,Crossref
10.2196/resprot.5204,crossref,Crossref
10.19189/MaP.2015.OMB.216,medra,mEDRA
10.19189/MaP.2016.OMB.258,medra,mEDRA
10.19189/MaP.2017.OMB.282,medra,mEDRA
10.18148/srm/2016.v10i2.6213,datacite,DataCite
10.14601/Phytopathol_Mediterr-18072,medra,mEDRA
10.19189/MaP.2015.OMB.200,medra,mEDRA
10.18148/srm/2016.v10i3.6217,datacite,DataCite
