DOI,publisher,is-referenced-by-count,container-title,subject
10.1016/j.jqsrt.2013.07.002,Elsevier BV,1887,Journal of Quantitative Spectroscopy and Radiative Transfer,
10.1080/15548627.2015.1100356,Informa UK Limited,1685,Autophagy,
10.1016/s0140-6736(15)01024-7,Elsevier BV,1013,The Lancet,General Medicine
10.1038/ncomms6682,Springer Science and Business Media LLC,733,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry"
10.1038/ncomms5759,Springer Science and Business Media LLC,586,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry"
10.1016/j.amepre.2012.10.018,Elsevier BV,368,American Journal of Preventive Medicine,
10.1038/nmicrobiol.2016.48,Springer Science and Business Media LLC,428,Nature Microbiology,Immunology;Microbiology (medical);Applied Microbiology and Biotechnology;Genetics;Cell Biology;Microbiology
10.1109/comst.2015.2477041,Institute of Electrical and Electronics Engineers (IEEE),385,IEEE Communications Surveys & Tutorials,
10.1007/s10633-014-9473-7,Springer Science and Business Media LLC,310,Documenta Ophthalmologica,Ophthalmology;Physiology (medical);Sensory Systems
10.1021/nn305559j,American Chemical Society (ACS),360,ACS Nano,
10.1093/mnras/stt601,Oxford University Press (OUP),325,Monthly Notices of the Royal Astronomical Society,
10.1103/physrevlett.115.250402,American Physical Society (APS),344,Physical Review Letters,
10.1016/j.micres.2013.09.009,Elsevier BV,423,Microbiological Research,
10.1093/mnras/sts612,Oxford University Press (OUP),256,Monthly Notices of the Royal Astronomical Society,
10.1103/physrevlett.110.260601,American Physical Society (APS),245,Physical Review Letters,
10.1103/physrevx.4.031035,American Physical Society (APS),171,Physical Review X,
10.1021/ma4017696,American Chemical Society (ACS),260,Macromolecules,
10.1093/mnras/stt041,Oxford University Press (OUP),230,Monthly Notices of the Royal Astronomical Society,
10.1093/mnras/sts454,Oxford University Press (OUP),223,Monthly Notices of the Royal Astronomical Society,Space and Planetary Science;Astronomy and Astrophysics
10.1093/mnras/stt928,Oxford University Press (OUP),225,Monthly Notices of the Royal Astronomical Society,
10.3945/jn.115.219634,Oxford University Press (OUP),216,The Journal of Nutrition,
10.1093/nar/gkw1004,Oxford University Press (OUP),305,Nucleic Acids Research,
10.1007/jhep07(2014)033,Springer Nature,201,Journal of High Energy Physics,
10.1093/mnrasl/sls053,Oxford University Press (OUP),185,Monthly Notices of the Royal Astronomical Society: Letters,
10.1038/nenergy.2016.119,Springer Science and Business Media LLC,257,Nature Energy,
10.1016/j.aop.2014.11.008,Elsevier BV,153,Annals of Physics,General Physics and Astronomy
10.1890/130300,Wiley,158,Frontiers in Ecology and the Environment,
10.1371/journal.pone.0058640,Public Library of Science (PLoS),63,PLoS ONE,
10.1038/ncomms4546,Springer Science and Business Media LLC,147,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry"
10.1007/jhep05(2013)093,Springer Nature,138,Journal of High Energy Physics,
10.1001/jamainternmed.2013.189,American Medical Association (AMA),140,JAMA Internal Medicine,
10.1021/ja511444e,American Chemical Society (ACS),159,Journal of the American Chemical Society,
10.1007/jhep07(2015)149,Springer Nature,147,Journal of High Energy Physics,
