Publisher,Paid Option Name,US Dollars
Acoustical Society of America,Gold Open Access Publishing Option,$500-$2200
Adis,Adis Open Choice,$3000
Agricultural Institute of Canada,Open Access Option,$750
AIP Publishing,Author Select,$1500-$2500
Akademie Verlag,De Gruyter Open Access,$2450
Akadémiai Kiadó,OOpenArt (Optional Open Article),$1125
Alcohol Research Documentation,Author-Pays Open-Access Option,$3000
AlphaMed Press,Wiley OnlineOpen,$3000
American Academy of Neurology (AAN),Open Access Mandates and Options,$3000-$3800
American Anthropological Association,Wiley OnlineOpen,$3000
American Arachnological Society,Immediate Public Access,$40-$100
American Association for Cancer Research,AuthorChoice,$3000
American Association of Immunologists,Author Choice,$3000
American Association of Petroleum Geologists,Open Access Gold Model,$2500
American Association of Pharmaceutical Scientists,Springer Open Choice,$3000
American Association of Physicists in Medicine,Open Access,$2500
American Astronomical Society,Gold Open Access,$45-$49
,,per quanta
American Chemical Society,ACS AuthorChoice,$1500-$4000
American College of Chest Physicians (ACCP),Open Access Option,$3000-$5000
American College of Sports Medicine (ACSM),hybrid open access option,$2000-$3800
American Dairy Science Association,Open Access,$1750-$3500
American Geophysical Union (AGU),Open Access,$2500-$3500
American Heart Association,Open Access,$3000-$4500
American Institute of Aeronautics and Astronautics,Open Access,$2000
American Institute of Mathematical Sciences (AIMS),Optional Open Access,$800
,,Per Article
American Medical Association (AMA),Open Access,$5000
American Meteorological Society,AMS Open Choice,$800
American Occupational Therapy Association,Open Access,-
American Physical Society,Open Access,$1700-$2700
American Physiological Society,Authors Choice,$2000-$3000
American Phytopathological Society,Open Access,$1900-$2400
American Psychological Association,Article Sponsorship,$4000
American Public Health Association,APHA Open Access,$2500
American Society for Biochemistry and Molecular Biology,Author Choice,$1500-$2000
American Society for Bone and Mineral Research,Wiley OnlineOpen,$3000
American Society for Clinical Investigation,Creative Commons,$0
American Society for Clinical Pharmacology and Therapeutics,Wiley OnlineOpen,$3000
American Society for Horticultural Science,Open Access,$600
American Society for Investigative Pathology (ASIP),Open Choice,$1500
- Journal of Molecular Diagnostics,Open Choice,$1500
American Society for Microbiology,Optional Open Access,$2300-$3150
American Society for Nutrition,Free Access Publication Option,$5000
American Society for Pharmacology and Experimental Therapeutics (ASPET),Open Acces Option,$2000-$3000
American Society of Agronomy,Open Access Option,$800-$1300
American Society of Andrology,Wiley OnlineOpen,$3000
American Society of Animal Science,Open Access (OA),$2500-$3250
American Society of Civil Engineers,ASCE Open Access,$1750
American Society of Clinical Oncology,Gold Open Access,$3500-$5000
American Society of Hematology,ASH Author Choice,$2000
American Society of Mechanical Engineers (ASME),Open Access,$3000
American Society of Nephrology,Author Choice,$3000
American Society of Neuroradiology,Open Access option,$500
American Society of Parasitologists,Open access,$750-$1000
American Society of Plant Biologists,OPEN,$1800-$2000
American Society of Tropical Medicine and Hygiene,Open Access Fee,$2500
American Speech-Language-Hearing Association,Gold Open Access,$2500
American Thoracic Society,Open Access,-
Amsterdam University Press,Paid OA,($494)
Antiquity Publications,Free-to-access publication,($2340)
AOAC International,Fee-Based Open Access Option,$1050-$1200
Arnold Publishers,SAGE Choice,$3000
ASM International,Springer Open Choice,$3000
Association for Computing Machinery (ACM),ACM's author-pays option,-
Association for Information Science and Technology (ASIS&T),Wiley OnlineOpen,$3000
Association for Psychological Science,SAGE Choice,$3000
Association for the Sciences of Limnology and Oceanography (ASLO),Free Access Publication,$350
Association of Learned and Professional Society Publishers (ALPSP),ALPSP Author Choice,$2785-$3550
Audio Engineering Society,AES Open Access Publications,$150-$1200
Australian Psychological Society,Wiley OnlineOpen,$3000
