doi,apc,type,title
10.1038/ncomms6682,5200,bronze,Nature Communications
10.1038/ncomms5759,5200,bronze,Nature Communications
10.1016/j.amepre.2012.10.018,2600,green,American Journal of Preventive Medicine
10.1103/PhysRevLett.115.250402,3300,hybrid,Physical Review Letters
10.1016/j.micres.2013.09.009,1800,hybrid,Microbiological Research
10.1103/PhysRevLett.110.260601,3300,hybrid,Physical Review Letters
10.1016/j.aop.2014.11.008,2200,hybrid,Annals of Physics
10.1038/ncomms4546,5200,hybrid,Nature Communications
10.1016/j.jpowsour.2014.01.057,4050,green,Journal of Power Sources
10.1016/j.micres.2015.11.008,1800,hybrid,Microbiological Research
10.1103/PhysRevLett.113.147204,3300,green,Physical Review Letters
10.1103/PhysRevLett.111.053601,3300,hybrid,Physical Review Letters
10.1038/ncomms4821,5200,bronze,Nature Communications
10.1103/PhysRevD.87.104017,2200,hybrid,Physical Review D
10.1016/j.gca.2015.02.025,3000,green,Geochimica et Cosmochimica Acta
10.1038/ncomms6718,5200,bronze,Nature Communications
10.1038/srep01378,1790,hybrid,Scientific Reports
10.1103/PhysRevB.90.174302,2200,green,Physical Review B
10.1038/srep01546,1790,hybrid,Scientific Reports
10.3390/en7042027,1800,hybrid,Energies
10.1016/j.ancene.2015.09.004,2500,hybrid,Anthropocene
10.1016/j.aei.2015.01.001,2400,hybrid,Advanced Engineering Informatics
10.1103/PhysRevLett.112.250501,3300,green,Physical Review Letters
10.3390/ijms14023514,1800,hybrid,International Journal of Molecular Sciences
10.1038/ncomms7139,5200,hybrid,Nature Communications
10.1016/j.jglr.2014.12.020,2500,hybrid,Journal of Great Lakes Research
10.1016/j.plipres.2016.05.001,4000,hybrid,Progress in Lipid Research
10.3390/ijerph111111691,1800,hybrid,International Journal of Environmental Research and Public Health
10.1016/j.jhydrol.2016.03.026,3200,closed,Journal of Hydrology
10.1016/j.biocon.2016.10.006,3400,hybrid,Biological Conservation
10.1103/PhysRevLett.114.090502,3300,hybrid,Physical Review Letters
10.1016/j.nanoen.2015.10.025,2700,hybrid,Nano Energy
10.1016/j.amepre.2013.08.015,2600,green,American Journal of Preventive Medicine
10.1038/srep02314,1790,hybrid,Scientific Reports
10.1038/ncomms5422,5200,bronze,Nature Communications
10.1016/j.physletb.2015.02.065,0,gold,Physics Letters B
10.1038/ncomms4256,5200,bronze,Nature Communications
10.1038/srep15313,1790,hybrid,Scientific Reports
10.1038/ncomms5251,5200,bronze,Nature Communications
10.1038/srep02781,1790,hybrid,Scientific Reports
10.1038/ncomms9597,5200,hybrid,Nature Communications
10.1016/j.chemgeo.2016.03.010,1800,hybrid,Chemical Geology
10.1016/j.tics.2016.05.010,3800,green,Trends in Cognitive Sciences
10.1038/srep02431,1790,hybrid,Scientific Reports
10.1103/PhysRevA.89.053617,2200,green,Physical Review A
10.1103/PhysRevLett.114.053602,3300,green,Physical Review Letters
10.1038/s41598-017-09098-0,1790,hybrid,Scientific Reports
10.1103/PhysRevLett.110.135702,3300,green,Physical Review Letters
10.1103/PhysRevLett.110.190502,3300,hybrid,Physical Review Letters
10.1016/j.visres.2015.02.009,2200,hybrid,Vision Research
10.1038/srep20463,1790,hybrid,Scientific Reports
10.1103/PhysRevLett.115.267208,3300,hybrid,Physical Review Letters
10.1103/PhysRevLett.116.031101,3300,hybrid,Physical Review Letters
10.1103/PhysRevD.91.062001,2200,hybrid,Physical Review D
10.1103/PhysRevB.88.125110,2200,green,Physical Review B
10.1103/PhysRevLett.114.076402,3300,hybrid,Physical Review Letters
10.1103/PhysRevLett.112.093601,3300,green,Physical Review Letters
10.1016/j.physletb.2014.08.054,0,gold,Physics Letters B
10.1016/j.epidem.2014.09.005,1890,gold,Epidemics
10.1038/srep03169,1790,hybrid,Scientific Reports
10.1103/PhysRevB.87.184423,2200,hybrid,Physical Review B
10.1016/j.jand.2015.08.016,2750,green,Journal of the Academy of Nutrition and Dietetics
10.1103/PhysRevA.87.043804,2200,closed,Physical Review A
10.1016/j.neuron.2012.11.006,5200,hybrid,Neuron
10.1103/PhysRevB.90.115119,2200,green,Physical Review B
10.1016/j.apmr.2014.06.021,3300,hybrid,Archives of Physical Medicine and Rehabilitation
10.1016/j.cognition.2013.06.012,2300,green,Cognition
10.1038/srep14268,1790,hybrid,Scientific Reports
10.3390/e17127862,1600,hybrid,Entropy
10.1038/ncomms9421,5200,hybrid,Nature Communications
10.1038/ncomms3337,5200,bronze,Nature Communications
10.1038/srep25666,1790,hybrid,Scientific Reports
10.1103/PhysRevD.90.045041,2200,green,Physical Review D
10.1038/ncomms10790,5200,hybrid,Nature Communications
10.1103/PhysRevB.87.121402,2200,hybrid,Physical Review B
10.1016/j.tws.2013.08.014,2500,hybrid,Thin-Walled Structures
10.1016/j.cosust.2016.04.001,3900,closed,Current Opinion in Environmental Sustainability
10.1016/j.cognition.2013.02.007,2300,green,Cognition
10.1038/ncomms4074,5200,bronze,Nature Communications
10.1038/ncomms6814,5200,bronze,Nature Communications
10.1016/j.jhazmat.2016.01.007,2500,hybrid,Journal of Hazardous Materials
10.1038/ncomms8908,5200,bronze,Nature Communications
10.1038/ncomms11780,5200,hybrid,Nature Communications
10.1016/j.ebiom.2016.06.009,3500,gold,EBioMedicine
10.1016/j.renene.2015.07.077,3000,hybrid,Renewable Energy
10.3390/catal3040878,1600,hybrid,Catalysts
10.1103/PhysRevB.87.085138,2200,hybrid,Physical Review B
10.3390/nano3020221,1600,hybrid,Nanomaterials
10.1103/PhysRevD.87.124017,2200,hybrid,Physical Review D
10.1038/srep33349,1790,hybrid,Scientific Reports
10.1016/j.resp.2013.06.016,3000,green,Respiratory Physiology & Neurobiology
10.1016/j.jclepro.2016.09.005,4050,green,Journal of Cleaner Production
10.1016/j.landurbplan.2016.03.010,1200,hybrid,Landscape and Urban Planning
10.1103/PhysRevA.88.052330,2200,closed,Physical Review A
10.1016/j.preteyeres.2012.10.004,3550,green,Progress in Retinal and Eye Research
10.1016/j.quascirev.2016.09.024,3000,hybrid,Quaternary Science Reviews
10.1016/j.epsr.2015.06.010,2500,hybrid,Electric Power Systems Research
10.3390/ijerph110100202,1800,hybrid,International Journal of Environmental Research and Public Health
10.1038/npp.2014.189,3760,bronze,Neuropsychopharmacology
10.1103/PhysRevB.92.035118,2200,hybrid,Physical Review B
10.1103/PhysRevLett.114.090402,3300,green,Physical Review Letters
10.1016/j.jpowsour.2015.08.063,4050,hybrid,Journal of Power Sources
10.1016/j.annepidem.2013.10.009,3000,green,Annals of Epidemiology
10.1038/srep26720,1790,hybrid,Scientific Reports
10.1038/ncomms9735,5200,hybrid,Nature Communications
10.1103/PhysRevA.91.032326,2200,hybrid,Physical Review A
10.1016/j.apmr.2013.06.022,3300,green,Archives of Physical Medicine and Rehabilitation
10.1016/j.scitotenv.2014.10.109,3400,hybrid,Science of the Total Environment
10.1038/ncomms8415,5200,hybrid,Nature Communications
10.1016/j.physletb.2015.10.077,0,gold,Physics Letters B
10.1038/ncomms11200,5200,hybrid,Nature Communications
10.1016/j.pec.2013.03.007,3500,hybrid,Patient Education and Counseling
10.1016/j.foodchem.2013.05.003,2800,hybrid,Food Chemistry
10.1016/j.ypmed.2016.03.006,2800,green,Preventive Medicine
10.1103/PhysRevLett.115.070501,3300,hybrid,Physical Review Letters
10.3390/molecules19056450,1800,hybrid,Molecules
10.1103/PhysRevA.89.042314,2200,green,Physical Review A
10.1016/j.neuroimage.2014.04.042,3000,green,NeuroImage
10.1016/j.jamda.2013.12.001,3600,green,Journal of the American Medical Directors Association
10.1103/PhysRevB.91.125121,2200,hybrid,Physical Review B
10.1016/j.jamda.2015.02.007,3600,hybrid,Journal of the American Medical Directors Association
10.1016/j.scitotenv.2014.05.151,3400,hybrid,Science of the Total Environment
10.1103/PhysRevLett.119.030501,3300,hybrid,Physical Review Letters
10.3390/ijerph110605889,1800,hybrid,International Journal of Environmental Research and Public Health
10.1103/PhysRevA.89.022330,2200,green,Physical Review A
10.1038/leu.2013.9,4390,bronze,Leukemia
10.1016/j.scitotenv.2013.12.059,3400,green,Science of the Total Environment
10.1016/j.media.2014.06.003,3100,green,Medical Image Analysis
10.1038/srep25809,1790,hybrid,Scientific Reports
10.1103/PhysRevLett.112.140501,3300,green,Physical Review Letters
10.1016/j.neuroimage.2015.10.061,3000,green,NeuroImage
10.1016/j.ymgme.2014.04.001,2800,green,Molecular Genetics and Metabolism
10.1016/j.jand.2014.08.030,2750,green,Journal of the Academy of Nutrition and Dietetics
10.1103/PhysRevLett.118.153602,3300,hybrid,Physical Review Letters
10.1038/srep20415,1790,hybrid,Scientific Reports
10.1038/srep01582,1790,hybrid,Scientific Reports
10.1016/j.precamres.2015.12.013,3300,hybrid,Precambrian Research
10.1103/PhysRevA.89.043621,2200,green,Physical Review A
10.1016/j.scitotenv.2014.10.112,3400,hybrid,Science of the Total Environment
10.1038/ncomms15347,5200,hybrid,Nature Communications
10.1016/j.bmc.2016.05.052,2350,green,Bioorganic & Medicinal Chemistry
10.1016/j.visres.2017.01.006,2200,green,Vision Research
10.1016/j.jcis.2014.04.025,3300,green,Journal of Colloid And Interface Science
10.1016/j.bandc.2013.01.002,1950,green,Brain and Cognition
10.1103/PhysRevB.94.155113,2200,hybrid,Physical Review B
10.1103/PhysRevLett.114.141103,3300,green,Physical Review Letters
10.3390/s141019354,1800,hybrid,Sensors
10.1016/j.laa.2012.04.033,1500,hybrid,Linear Algebra and Its Applications
10.1016/j.ijfatigue.2014.02.012,3300,green,International Journal of Fatigue
10.1016/j.neuroimage.2016.04.041,3000,green,NeuroImage
10.1016/j.concog.2013.04.003,2350,hybrid,Consciousness and Cognition
10.1038/srep02936,1790,hybrid,Scientific Reports
10.1016/j.physletb.2014.09.042,0,gold,Physics Letters B
10.1103/PhysRevLett.115.160505,3300,hybrid,Physical Review Letters
10.1038/srep02730,1790,hybrid,Scientific Reports
10.1016/j.physletb.2017.01.054,0,gold,Physics Letters B
10.1103/PhysRevA.90.063610,2200,green,Physical Review A
10.1103/PhysRevA.92.032305,2200,hybrid,Physical Review A
10.1103/PhysRevD.93.062001,2200,hybrid,Physical Review D
10.1103/PhysRevB.91.205139,2200,hybrid,Physical Review B
10.1016/j.scitotenv.2014.10.094,3400,hybrid,Science of the Total Environment
10.1016/j.laa.2012.11.016,1500,hybrid,Linear Algebra and Its Applications
10.1038/srep06290,1790,hybrid,Scientific Reports
10.1038/ncomms11417,5200,hybrid,Nature Communications
10.1016/j.jmb.2014.05.024,2350,hybrid,Journal of Molecular Biology
10.1016/j.physletb.2016.01.044,0,gold,Physics Letters B
10.1038/s41522-016-0011-0,3170,hybrid,npj Biofilms and Microbiomes
10.1103/PhysRevApplied.6.044010,2200,green,Physical Review Applied
10.1103/PhysRevB.93.195316,2200,green,Physical Review B
10.1016/j.jocd.2014.04.124,3300,green,Journal of Clinical Densitometry
10.1103/PhysRevLett.110.040501,3300,hybrid,Physical Review Letters
10.1103/PhysRevA.93.023602,2200,hybrid,Physical Review A
10.1016/j.polymer.2012.11.067,3400,green,Polymer
10.1038/ncomms10138,5200,hybrid,Nature Communications
10.1038/srep02689,1790,hybrid,Scientific Reports
10.1016/j.chb.2016.11.062,1950,green,Computers in Human Behavior
10.1016/j.ymeth.2013.08.021,3400,green,Methods
10.3390/ijerph110606009,1800,hybrid,International Journal of Environmental Research and Public Health
10.1038/ncomms8421,5200,bronze,Nature Communications
10.1038/srep02305,1790,hybrid,Scientific Reports
10.1103/PhysRevLett.114.140501,3300,hybrid,Physical Review Letters
10.1103/PhysRevB.94.201108,2200,hybrid,Physical Review B
10.1016/j.socscimed.2015.05.042,3400,hybrid,Social Science & Medicine
10.1103/PhysRevA.90.062127,2200,green,Physical Review A
10.1038/srep15178,1790,hybrid,Scientific Reports
10.1038/mt.2014.24,3200,hybrid,Molecular Therapy
10.1103/PhysRevA.90.052305,2200,green,Physical Review A
10.1103/PhysRevB.87.161306,2200,hybrid,Physical Review B
10.1038/srep02991,1790,hybrid,Scientific Reports
10.1016/j.jconhyd.2014.04.006,2500,hybrid,Journal of Contaminant Hydrology
10.1103/PhysRevE.91.023301,2200,hybrid,Physical Review E
10.1038/srep31730,1790,hybrid,Scientific Reports
10.1103/PhysRevB.96.245119,2200,hybrid,Physical Review B
10.3390/e16031484,1600,hybrid,Entropy
10.1103/PhysRevD.89.043510,2200,green,Physical Review D
10.1038/ncomms4418,5200,bronze,Nature Communications
10.1103/PhysRevB.91.014412,2200,hybrid,Physical Review B
10.1038/s41467-017-00486-8,5200,hybrid,Nature Communications
10.3390/nu6126095,2000,hybrid,Nutrients
10.1103/PhysRevLett.115.140501,3300,hybrid,Physical Review Letters
10.1016/j.gexplo.2015.12.005,2500,green,Journal of Geochemical Exploration
10.1016/j.jhazmat.2013.05.011,2500,green,Journal of Hazardous Materials
10.1038/ncomms5275,5200,bronze,Nature Communications
10.1016/j.foodpol.2016.12.001,1500,hybrid,Food Policy
10.1103/PhysRevLett.116.257204,3300,hybrid,Physical Review Letters
10.1016/j.patcog.2015.12.008,3100,hybrid,Pattern Recognition
10.1016/j.jesp.2013.11.008,1800,green,Journal of Experimental Social Psychology
10.1016/j.ypmed.2015.05.011,2800,hybrid,Preventive Medicine
10.1016/j.earscirev.2016.10.013,3550,green,Earth-Science Reviews
10.3390/min4020257,1400,hybrid,Minerals
10.1016/j.physletb.2014.07.040,0,gold,Physics Letters B
10.1016/j.drugalcdep.2014.07.019,3200,green,Drug and Alcohol Dependence
10.1038/srep22582,1790,hybrid,Scientific Reports
10.1103/PhysRevB.92.245114,2200,hybrid,Physical Review B
10.1016/j.mechatronics.2015.04.020,2400,green,Mechatronics
10.1016/j.jhydrol.2016.02.040,3200,hybrid,Journal of Hydrology
10.1016/j.visres.2014.12.021,2200,hybrid,Vision Research
10.1016/j.tcs.2012.10.055,1600,hybrid,Theoretical Computer Science
10.1103/PhysRevLett.119.261802,3300,hybrid,Physical Review Letters
10.1103/PhysRevLett.110.087205,3300,hybrid,Physical Review Letters
10.1103/PhysRevB.91.220506,2200,hybrid,Physical Review B
10.1016/j.scitotenv.2014.05.064,3400,hybrid,Science of the Total Environment
10.1016/j.physletb.2016.04.041,0,gold,Physics Letters B
10.1016/j.tcs.2014.04.016,1600,green,Theoretical Computer Science
10.1038/srep19268,1790,hybrid,Scientific Reports
10.1038/srep46349,1790,hybrid,Scientific Reports
10.1016/j.ecoleng.2017.07.012,2600,hybrid,Ecological Engineering
10.1038/ncomms12491,5200,hybrid,Nature Communications
10.1103/PhysRevA.93.042302,2200,hybrid,Physical Review A
10.1016/j.visres.2015.01.017,2200,hybrid,Vision Research
10.3390/rs5083729,1800,hybrid,Remote Sensing
10.1038/srep10304,1790,hybrid,Scientific Reports
10.1016/j.poly.2013.02.031,2600,green,Polyhedron
10.1103/PhysRevLett.117.217801,3300,hybrid,Physical Review Letters
10.1103/PhysRevD.91.044025,2200,green,Physical Review D
10.1016/j.tca.2015.04.005,2600,green,Thermochimica Acta
10.3390/polym9020070,1500,hybrid,Polymers
10.1103/PhysRevLett.110.262502,3300,hybrid,Physical Review Letters
10.1016/j.jml.2013.01.003,1950,green,Journal of Memory and Language
10.1103/PhysRevA.91.052306,2200,hybrid,Physical Review A
10.1038/ncomms11219,5200,hybrid,Nature Communications
10.1016/j.ssci.2015.07.029,1950,green,Safety Science
10.1038/srep25223,1790,hybrid,Scientific Reports
10.1038/srep44038,1790,hybrid,Scientific Reports
10.3390/s131216075,1800,hybrid,Sensors
10.1016/j.eneco.2016.04.016,1950,hybrid,Energy Economics
10.1038/ncomms11712,5200,hybrid,Nature Communications
10.1016/j.quascirev.2015.08.034,3000,green,Quaternary Science Reviews
10.1038/s41598-017-16222-7,1790,hybrid,Scientific Reports
10.1016/j.surfcoat.2016.11.014,2800,hybrid,Surface & Coatings Technology
10.1103/PhysRevA.91.052325,2200,hybrid,Physical Review A
